"Threshold","Denominator","LogDenominator","Numerator","Metric","MetricID","StudyID","SnapshotDate"
-2,7367.792,8.90487334735208,589.348510652136,0.0799898410069308,"Analysis_cou0001","AA-AA-000-0000",2026-07-28
-2,7381,8.90666440977005,590.453346875145,0.0799963889547683,"Analysis_cou0001","AA-AA-000-0000",2026-07-28
-2,7394.208,8.90845227001787,591.558226282799,0.0800029193502264,"Analysis_cou0001","AA-AA-000-0000",2026-07-28
-2,7407.416,8.91023693952517,592.663148759443,0.0800094322715833,"Analysis_cou0001","AA-AA-000-0000",2026-07-28
-2,7420.624,8.91201842966051,593.768114189934,0.0800159277966292,"Analysis_cou0001","AA-AA-000-0000",2026-07-28
-2,7433.832,8.91379675173178,594.873122459642,0.0800224060026703,"Analysis_cou0001","AA-AA-000-0000",2026-07-28
-2,7447.04,8.91557191698667,595.978173454448,0.0800288669665327,"Analysis_cou0001","AA-AA-000-0000",2026-07-28
-2,7460.248,8.91734393661307,597.083267060736,0.0800353107645665,"Analysis_cou0001","AA-AA-000-0000",2026-07-28
-2,7473.456,8.91911282173948,598.188403165393,0.0800417374726489,"Analysis_cou0001","AA-AA-000-0000",2026-07-28
-2,7486.664,8.92087858343548,599.293581655806,0.0800481471661886,"Analysis_cou0001","AA-AA-000-0000",2026-07-28
-2,7499.872,8.9226412327121,600.398802419861,0.0800545399201294,"Analysis_cou0001","AA-AA-000-0000",2026-07-28
-2,7513.08,8.92440078052224,601.504065345932,0.0800609158089535,"Analysis_cou0001","AA-AA-000-0000",2026-07-28
-2,7526.288,8.92615723776109,602.609370322889,0.0800672749066856,"Analysis_cou0001","AA-AA-000-0000",2026-07-28
-2,7539.496,8.92791061526655,603.714717240086,0.0800736172868963,"Analysis_cou0001","AA-AA-000-0000",2026-07-28
-2,7552.704,8.92966092381957,604.820105987361,0.0800799430227057,"Analysis_cou0001","AA-AA-000-0000",2026-07-28
-2,7565.912,8.93140817414463,605.925536455037,0.0800862521867868,"Analysis_cou0001","AA-AA-000-0000",2026-07-28
-2,7579.12,8.93315237691007,607.03100853391,0.0800925448513693,"Analysis_cou0001","AA-AA-000-0000",2026-07-28
-2,7592.328,8.9348935427285,608.136522115257,0.0800988210882429,"Analysis_cou0001","AA-AA-000-0000",2026-07-28
-2,7605.536,8.9366316821572,609.242077090825,0.0801050809687608,"Analysis_cou0001","AA-AA-000-0000",2026-07-28
-2,7618.744,8.93836680569851,610.34767335283,0.0801113245638428,"Analysis_cou0001","AA-AA-000-0000",2026-07-28
-2,7631.952,8.94009892380017,611.453310793956,0.0801175519439793,"Analysis_cou0001","AA-AA-000-0000",2026-07-28
