"GroupID","GroupLevel","Numerator","Denominator","Metric","OverallMetric","Factor","Score"
"17187","Site",22,753,0.0292164674634794,0.044072194451864,1.45421941647669,-1.61025290155667
"2392","Site",13,497,0.0261569416498994,0.044072194451864,1.45421941647669,-1.57762517525091
"5444","Site",0,79,0,0.044072194451864,1.45421941647669,-1.54732276065314
"9075","Site",2,155,0.0129032258064516,0.044072194451864,1.45421941647669,-1.5328193489497
"14105","Site",2,135,0.0148148148148148,0.044072194451864,1.45421941647669,-1.34278043289113
"25616","Site",3,158,0.0189873417721519,0.044072194451864,1.45421941647669,-1.24549730182024
"5968","Site",7,277,0.0252707581227437,0.044072194451864,1.45421941647669,-1.23604307442025
"17808","Site",15,498,0.0301204819277108,0.044072194451864,1.45421941647669,-1.2298294344868
"12417","Site",13,435,0.0298850574712644,0.044072194451864,1.45421941647669,-1.16880506035421
"8995","Site",8,297,0.0269360269360269,0.044072194451864,1.45421941647669,-1.16652651955157
"531","Site",23,699,0.0329041487839771,0.044072194451864,1.45421941647669,-1.16632198423144
"26880","Site",9,324,0.0277777777777778,0.044072194451864,1.45421941647669,-1.15854795663009
"34355","Site",9,319,0.0282131661442006,0.044072194451864,1.45421941647669,-1.11885706507398
"21129","Site",0,36,0,0.044072194451864,1.45421941647669,-1.04452447010298
"16725","Site",0,35,0,0.044072194451864,1.45421941647669,-1.02991501675484
"34660","Site",4,162,0.0246913580246914,0.044072194451864,1.45421941647669,-0.974389771053217
"14169","Site",0,28,0,0.044072194451864,1.45421941647669,-0.921183995404667
"34326","Site",0,27,0,0.044072194451864,1.45421941647669,-0.904584725983658
"22033","Site",3,126,0.0238095238095238,0.044072194451864,1.45421941647669,-0.898430838495759
"6453","Site",0,26,0,0.044072194451864,1.45421941647669,-0.887675109246708
"29254","Site",0,25,0,0.044072194451864,1.45421941647669,-0.870437058419148
"20578","Site",3,120,0.025,0.044072194451864,1.45421941647669,-0.825266054511662
"4723","Site",0,21,0,0.044072194451864,1.45421941647669,-0.797768741580089
"14164","Site",3,116,0.0258620689655172,0.044072194451864,1.45421941647669,-0.774719746942258
"34713","Site",23,633,0.0363349131121643,0.044072194451864,1.45421941647669,-0.768940855511468
