"GroupID","GroupLevel","Numerator","Denominator","Metric","Score","Flag","MetricID","SnapshotDate","StudyID"
"Japan","Country",690,7403,0.093205457247062,1.42953009943658,0,"Analysis_cou0001",2026-07-28,"AA-AA-000-0000"
"US","Country",927,10766,0.0861044027493962,-0.409461045449696,0,"Analysis_cou0001",2026-07-28,"AA-AA-000-0000"
"UK","Country",691,8218,0.0840837186663422,-0.888135883220633,0,"Analysis_cou0001",2026-07-28,"AA-AA-000-0000"
"Japan","Country",340,7403,0.0459273267594219,1.46874632273947,0,"Analysis_cou0002",2026-07-28,"AA-AA-000-0000"
"UK","Country",354,8218,0.0430761742516427,-0.573746635668599,0,"Analysis_cou0002",2026-07-28,"AA-AA-000-0000"
"US","Country",463,10766,0.0430057588705183,-0.716658243166332,0,"Analysis_cou0002",2026-07-28,"AA-AA-000-0000"
"Japan","Country",338,7403,0.0456571660137782,1.34070526721142,0,"Analysis_cou0003",2026-07-28,"AA-AA-000-0000"
"UK","Country",357,8218,0.0434412265758092,-0.0175204804179087,0,"Analysis_cou0003",2026-07-28,"AA-AA-000-0000"
"US","Country",452,10766,0.0419840237785621,-1.09644991642914,0,"Analysis_cou0003",2026-07-28,"AA-AA-000-0000"
"Japan","Country",346,7403,0.0467378089963528,1.3228105268149,0,"Analysis_cou0004",2026-07-28,"AA-AA-000-0000"
"US","Country",474,10766,0.0440274939624745,-0.126290692465438,0,"Analysis_cou0004",2026-07-28,"AA-AA-000-0000"
"UK","Country",347,8218,0.0422243854952543,-1.11095588172722,0,"Analysis_cou0004",2026-07-28,"AA-AA-000-0000"
"UK","Country",1201,77248,0.015547328086164,1.0088911476663,0,"Analysis_cou0005",2026-07-28,"AA-AA-000-0000"
"US","Country",1475,96754,0.0152448477582322,0.254313833591637,0,"Analysis_cou0005",2026-07-28,"AA-AA-000-0000"
"Japan","Country",983,67406,0.0145832715188559,-1.38472492799274,0,"Analysis_cou0005",2026-07-28,"AA-AA-000-0000"
"Japan","Country",7,216,0.0324074074074074,1.39353460568233,0,"Analysis_cou0006",2026-07-28,"AA-AA-000-0000"
"US","Country",5,319,0.0156739811912226,-0.315329823758466,0,"Analysis_cou0006",2026-07-28,"AA-AA-000-0000"
"UK","Country",2,230,0.00869565217391304,NA,NA,"Analysis_cou0006",2026-07-28,"AA-AA-000-0000"
"UK","Country",8,230,0.0347826086956522,1.33577296646432,0,"Analysis_cou0007",2026-07-28,"AA-AA-000-0000"
"US","Country",5,319,0.0156739811912226,-0.250703996998568,0,"Analysis_cou0007",2026-07-28,"AA-AA-000-0000"
"Japan","Country",1,216,0.00462962962962963,NA,NA,"Analysis_cou0007",2026-07-28,"AA-AA-000-0000"
"UK","Country",42582,178000,0.239224719101124,1.25994759003635,0,"Analysis_cou0008",2026-07-28,"AA-AA-000-0000"
"Japan","Country",37036,161000,0.230037267080745,0.102673942897849,0,"Analysis_cou0008",2026-07-28,"AA-AA-000-0000"
"US","Country",51700,234000,0.220940170940171,-1.18405664214657,0,"Analysis_cou0008",2026-07-28,"AA-AA-000-0000"
"Japan","Country",33968,37036,0.917161680527055,1.3657815865581,0,"Analysis_cou0009",2026-07-28,"AA-AA-000-0000"
"US","Country",47388,51700,0.916595744680851,-0.20784356810525,0,"Analysis_cou0009",2026-07-28,"AA-AA-000-0000"
"UK","Country",39018,42582,0.916302663097083,-1.04472087612726,0,"Analysis_cou0009",2026-07-28,"AA-AA-000-0000"
"Japan","Country",7480,148144,0.0504914137595853,1.41129927605381,0,"Analysis_cou0010",2026-07-28,"AA-AA-000-0000"
"US","Country",10385,206800,0.0502176015473888,-0.335645884996491,0,"Analysis_cou0010",2026-07-28,"AA-AA-000-0000"
"UK","Country",8537,170328,0.0501209431215067,-0.946348875042867,0,"Analysis_cou0010",2026-07-28,"AA-AA-000-0000"
