"GroupID","GroupLevel","Numerator","Denominator","Metric","OverallMetric","Factor","Score","Flag","Weight","WeightMax"
"SITE7838","Site",7,32,0.21875,0.0339540296770439,1.80897816688981,4.21798626582505,2,32,32
"SITE2986","Site",5,367,0.0136239782016349,0.0339540296770439,1.80897816688981,-1.57148118549816,0,0,32
"SITE1750","Site",6,389,0.0154241645244216,0.0339540296770439,1.80897816688981,-1.47463567021856,0,0,32
"SITE3289","Site",7,413,0.0169491525423729,0.0339540296770439,1.80897816688981,-1.39439622905803,0,0,32
"SITE4629","Site",10,521,0.0191938579654511,0.0339540296770439,1.80897816688981,-1.35940213267459,0,0,32
"SITE3319","Site",2,194,0.0103092783505155,0.0339540296770439,1.80897816688981,-1.32884183195157,0,0,32
"SITE8420","Site",3,236,0.0127118644067797,0.0339540296770439,1.80897816688981,-1.31671705343119,0,0,32
"SITE8091","Site",5,308,0.0162337662337662,0.0339540296770439,1.80897816688981,-1.25482513066736,0,0,32
"SITE3415","Site",2,174,0.0114942528735632,0.0339540296770439,1.80897816688981,-1.19541234275337,0,0,32
"SITE2980","Site",2,166,0.0120481927710843,0.0339540296770439,1.80897816688981,-1.1388107795446,0,0,32
"SITE8799","Site",21,857,0.0245040840140023,0.0339540296770439,1.80897816688981,-1.11623952833267,0,0,32
"SITE9884","Site",0,61,0,0.0339540296770439,1.80897816688981,-1.07002498077263,0,0,32
"SITE213","Site",26,1006,0.025844930417495,0.0339540296770439,1.80897816688981,-1.03778952360374,0,0,32
"SITE3090","Site",5,268,0.0186567164179104,0.0339540296770439,1.80897816688981,-1.01046257440056,0,0,32
"SITE6405","Site",10,450,0.0222222222222222,0.0339540296770439,1.80897816688981,-1.00417373748588,0,0,32
"SITE9142","Site",30,1116,0.0268817204301075,0.0339540296770439,1.80897816688981,-0.953303121962709,0,0,32
"SITE4959","Site",16,645,0.0248062015503876,0.0339540296770439,1.80897816688981,-0.937422836282441,0,0,32
"SITE4671","Site",0,43,0,0.0339540296770439,1.80897816688981,-0.898386520539678,0,0,32
