"GroupID","GroupLevel","Numerator","Denominator","Metric"
"SITE022","Site",1,4,0.25
"SITE101","Site",0,2,0
"SITE1102","Site",1,4,0.25
"SITE1233","Site",4,6,0.666666666666667
"SITE1257","Site",2,5,0.4
"SITE1273","Site",0,1,0
"SITE1544","Site",1,2,0.5
"SITE1727","Site",0,7,0
"SITE1748","Site",3,7,0.428571428571429
"SITE1750","Site",3,7,0.428571428571429
"SITE1786","Site",3,5,0.6
"SITE180","Site",1,7,0.142857142857143
"SITE1841","Site",0,3,0
"SITE1910","Site",1,5,0.2
"SITE1934","Site",0,4,0
"SITE1935","Site",0,2,0
"SITE1982","Site",2,5,0.4
"SITE2030","Site",0,1,0
"SITE2062","Site",0,1,0
"SITE213","Site",5,12,0.416666666666667
"SITE216","Site",3,8,0.375
"SITE2170","Site",4,10,0.4
"SITE2192","Site",4,14,0.285714285714286
"SITE2323","Site",3,6,0.5
"SITE2354","Site",1,3,0.333333333333333
"SITE2373","Site",0,5,0
"SITE2532","Site",2,12,0.166666666666667
"SITE2883","Site",1,3,0.333333333333333
"SITE2894","Site",2,5,0.4
"SITE2901","Site",2,4,0.5
"SITE2923","Site",0,3,0
"SITE2980","Site",1,4,0.25
"SITE2986","Site",1,7,0.142857142857143
"SITE3068","Site",0,4,0
"SITE3077","Site",2,3,0.666666666666667
"SITE3081","Site",5,11,0.454545454545455
"SITE3090","Site",2,5,0.4
"SITE3289","Site",1,7,0.142857142857143
"SITE3319","Site",3,5,0.6
"SITE3353","Site",1,7,0.142857142857143
"SITE3415","Site",2,4,0.5
"SITE3719","Site",1,5,0.2
"SITE3754","Site",1,4,0.25
"SITE3759","Site",0,1,0
"SITE3839","Site",2,6,0.333333333333333
"SITE3871","Site",0,3,0
"SITE3909","Site",1,7,0.142857142857143
"SITE3938","Site",0,4,0
"SITE3989","Site",0,7,0
"SITE4028","Site",2,2,1
"SITE404","Site",1,3,0.333333333333333
"SITE4072","Site",2,9,0.222222222222222
"SITE4155","Site",0,2,0
"SITE4260","Site",4,8,0.5
"SITE4264","Site",3,5,0.6
"SITE4275","Site",1,1,1
"SITE4314","Site",6,8,0.75
"SITE4323","Site",2,14,0.142857142857143
"SITE4424","Site",1,2,0.5
"SITE4485","Site",3,11,0.272727272727273
"SITE4543","Site",2,3,0.666666666666667
"SITE4590","Site",5,12,0.416666666666667
"SITE4597","Site",2,3,0.666666666666667
"SITE4612","Site",0,2,0
"SITE4629","Site",2,8,0.25
"SITE4671","Site",1,2,0.5
"SITE4703","Site",0,2,0
"SITE4744","Site",0,2,0
"SITE4754","Site",0,1,0
"SITE4874","Site",2,7,0.285714285714286
"SITE4875","Site",0,2,0
"SITE4959","Site",0,11,0
"SITE4976","Site",0,1,0
"SITE5033","Site",3,10,0.3
"SITE5062","Site",1,5,0.2
"SITE5185","Site",1,1,1
"SITE5217","Site",0,1,0
"SITE5289","Site",0,1,0
"SITE5384","Site",4,7,0.571428571428571
"SITE5425","Site",1,2,0.5
"SITE5611","Site",2,7,0.285714285714286
"SITE5895","Site",3,9,0.333333333333333
"SITE6068","Site",1,2,0.5
"SITE6123","Site",0,2,0
"SITE6155","Site",0,3,0
"SITE6184","Site",1,5,0.2
"SITE6384","Site",0,5,0
"SITE6405","Site",0,6,0
"SITE6410","Site",0,4,0
"SITE6440","Site",0,1,0
"SITE6572","Site",0,3,0
"SITE6603","Site",3,9,0.333333333333333
"SITE6832","Site",1,5,0.2
"SITE6900","Site",0,7,0
"SITE6991","Site",3,3,1
"SITE7004","Site",1,9,0.111111111111111
"SITE7011","Site",3,6,0.5
"SITE7096","Site",0,5,0
"SITE7184","Site",2,5,0.4
"SITE7208","Site",0,4,0
"SITE7246","Site",0,2,0
"SITE7543","Site",0,2,0
"SITE759","Site",3,6,0.5
"SITE7604","Site",3,4,0.75
"SITE7734","Site",1,2,0.5
"SITE7809","Site",1,7,0.142857142857143
"SITE7838","Site",1,3,0.333333333333333
"SITE7860","Site",0,4,0
"SITE7913","Site",1,2,0.5
"SITE7983","Site",0,13,0
"SITE8084","Site",1,2,0.5
"SITE8091","Site",0,5,0
"SITE8210","Site",3,6,0.5
"SITE8351","Site",2,9,0.222222222222222
"SITE8354","Site",2,6,0.333333333333333
"SITE8361","Site",0,1,0
"SITE8420","Site",2,6,0.333333333333333
"SITE8517","Site",0,7,0
"SITE8616","Site",0,1,0
"SITE8625","Site",2,12,0.166666666666667
"SITE8627","Site",0,2,0
"SITE8633","Site",2,6,0.333333333333333
"SITE8764","Site",2,4,0.5
"SITE8768","Site",1,7,0.142857142857143
"SITE8786","Site",2,8,0.25
"SITE8788","Site",1,6,0.166666666666667
"SITE8799","Site",6,13,0.461538461538462
"SITE8835","Site",1,5,0.2
"SITE8857","Site",1,2,0.5
"SITE8997","Site",2,5,0.4
"SITE9082","Site",0,1,0
"SITE9142","Site",4,15,0.266666666666667
"SITE9147","Site",1,2,0.5
"SITE9346","Site",5,11,0.454545454545455
"SITE9360","Site",5,9,0.555555555555556
"SITE9395","Site",0,4,0
"SITE9414","Site",3,7,0.428571428571429
"SITE9418","Site",1,3,0.333333333333333
"SITE9516","Site",1,4,0.25
"SITE958","Site",1,11,0.0909090909090909
"SITE9580","Site",2,5,0.4
"SITE9604","Site",2,5,0.4
"SITE9661","Site",1,7,0.142857142857143
"SITE9737","Site",1,6,0.166666666666667
"SITE9766","Site",1,2,0.5
"SITE9858","Site",0,4,0
"SITE9884","Site",0,4,0
"SITE9888","Site",0,2,0
