"GroupID","GroupLevel","Numerator","Denominator","Metric","OverallMetric","Factor","Score"
"28676","Site",5,292,0.0171232876712329,0.0434683745783909,1.61487658797355,-1.69916162735549
"34664","Site",0,107,0,0.0434683745783909,1.61487658797355,-1.69710580941273
"25616","Site",2,158,0.0126582278481013,0.0434683745783909,1.61487658797355,-1.46172589433403
"25970","Site",0,71,0,0.0434683745783909,1.61487658797355,-1.38243972714202
"6452","Site",0,67,0,0.0434683745783909,1.61487658797355,-1.34293326811385
"30019","Site",0,54,0,0.0434683745783909,1.61487658797355,-1.20562962544179
"22033","Site",2,126,0.0158730158730159,0.0434683745783909,1.61487658797355,-1.16913576637646
"18777","Site",14,477,0.0293501048218029,0.0434683745783909,1.61487658797355,-1.16381592521566
"26674","Site",2,122,0.0163934426229508,0.0434683745783909,1.61487658797355,-1.12873221301868
"33296","Site",7,271,0.025830258302583,0.0434683745783909,1.61487658797355,-1.0959240993061
"30729","Site",9,322,0.0279503105590062,0.0434683745783909,1.61487658797355,-1.05101546271143
"14449","Site",0,40,0,0.0434683745783909,1.61487658797355,-1.03764076911786
"34694","Site",10,345,0.0289855072463768,0.0434683745783909,1.61487658797355,-1.0153311967401
"32900","Site",0,38,0,0.0434683745783909,1.61487658797355,-1.01136711803811
"33620","Site",5,194,0.0257731958762887,0.0434683745783909,1.61487658797355,-0.930249506492733
"26115","Site",13,411,0.0316301703163017,0.0434683745783909,1.61487658797355,-0.905837656199676
"18260","Site",0,30,0,0.0434683745783909,1.61487658797355,-0.898623266058486
"12937","Site",9,301,0.0299003322259136,0.0434683745783909,1.61487658797355,-0.88847266104743
"18549","Site",0,28,0,0.0434683745783909,1.61487658797355,-0.868152553422983
"4695","Site",6,214,0.0280373831775701,0.0434683745783909,1.61487658797355,-0.852009321719405
"17444","Site",0,24,0,0.0434683745783909,1.61487658797355,-0.803753083627861
"2392","Site",17,497,0.03420523138833,0.0434683745783909,1.61487658797355,-0.779435535993419
"24964","Site",1,59,0.0169491525423729,0.0434683745783909,1.61487658797355,-0.768830167238079
"20578","Site",3,120,0.025,0.0434683745783909,1.61487658797355,-0.763594739550046
"39000","Site",2,90,0.0222222222222222,0.0434683745783909,1.61487658797355,-0.760755632760978
"4723","Site",0,21,0,0.0434683745783909,1.61487658797355,-0.75184216562463
"38758","Site",0,21,0,0.0434683745783909,1.61487658797355,-0.75184216562463
"24867","Site",0,19,0,0.0434683745783909,1.61487658797355,-0.715144547433845
"37186","Site",30,808,0.0371287128712871,0.0434683745783909,1.61487658797355,-0.6801667455855
"13139","Site",3,113,0.0265486725663717,0.0434683745783909,1.61487658797355,-0.678852719594912
"10624","Site",3,110,0.0272727272727273,0.0434683745783909,1.61487658797355,-0.641118462423127
"34343","Site",0,15,0,0.0434683745783909,1.61487658797355,-0.635422605161958
"14601","Site",12,348,0.0344827586206897,0.0434683745783909,1.61487658797355,-0.63267562889246
"33633","Site",0,14,0,0.0434683745783909,1.61487658797355,-0.613876557629808
"5444","Site",2,79,0.0253164556962025,0.0434683745783909,1.61487658797355,-0.608947312576094
"14105","Site",4,135,0.0296296296296296,0.0434683745783909,1.61487658797355,-0.606886140979736
"33617","Site",16,440,0.0363636363636364,0.0434683745783909,1.61487658797355,-0.562494200348433
"37728","Site",16,436,0.036697247706422,0.0434683745783909,1.61487658797355,-0.533639325301144
"34713","Site",24,633,0.037914691943128,0.0434683745783909,1.61487658797355,-0.527383506969386
"9075","Site",5,155,0.032258064516129,0.0434683745783909,1.61487658797355,-0.526777363441516
"20869","Site",0,10,0,0.0434683745783909,1.61487658797355,-0.518820384558928
"30516","Site",0,10,0,0.0434683745783909,1.61487658797355,-0.518820384558928
"34903","Site",2,73,0.0273972602739726,0.0434683745783909,1.61487658797355,-0.518264009360544
"17187","Site",29,753,0.0385126162018592,0.0434683745783909,1.61487658797355,-0.513276336187132
"10630","Site",9,255,0.0352941176470588,0.0434683745783909,1.61487658797355,-0.492676678524952
"534","Site",7,202,0.0346534653465347,0.0434683745783909,1.61487658797355,-0.472864988848301
"21380","Site",15,399,0.037593984962406,0.0434683745783909,1.61487658797355,-0.442886890982191
"10371","Site",3,95,0.0315789473684211,0.0434683745783909,1.61487658797355,-0.437387498159401
"8240","Site",0,5,0,0.0434683745783909,1.61487658797355,-0.36686141213943
"257","Site",3,89,0.0337078651685393,0.0434683745783909,1.61487658797355,-0.347545058720828
"25605","Site",13,338,0.0384615384615385,0.0434683745783909,1.61487658797355,-0.347428432505064
"16725","Site",1,35,0.0285714285714286,0.0434683745783909,1.61487658797355,-0.332640324997312
"8290","Site",0,4,0,0.0434683745783909,1.61487658797355,-0.328130822346133
"21015","Site",0,4,0,0.0434683745783909,1.61487658797355,-0.328130822346133
"21541","Site",2,61,0.0327868852459016,0.0434683745783909,1.61487658797355,-0.314876579496479
"39044","Site",2,61,0.0327868852459016,0.0434683745783909,1.61487658797355,-0.314876579496479
"14648","Site",5,137,0.0364963503649635,0.0434683745783909,1.61487658797355,-0.308008570208893
"1881","Site",11,277,0.0397111913357401,0.0434683745783909,1.61487658797355,-0.236018416165382
"38272","Site",11,277,0.0397111913357401,0.0434683745783909,1.61487658797355,-0.236018416165382
"10531","Site",1,30,0.0333333333333333,0.0434683745783909,1.61487658797355,-0.209522071013869
"30212","Site",4,105,0.0380952380952381,0.0434683745783909,1.61487658797355,-0.207809861159648
"12417","Site",18,435,0.0413793103448276,0.0434683745783909,1.61487658797355,-0.164452338151402
"9044","Site",2,53,0.0377358490566038,0.0434683745783909,1.61487658797355,-0.157517047272452
"17013","Site",1,28,0.0357142857142857,0.0434683745783909,1.61487658797355,-0.154865051020061
"34326","Site",1,27,0.037037037037037,0.0434683745783909,1.61487658797355,-0.12613244552098
"16996","Site",10,240,0.0416666666666667,0.0434683745783909,1.61487658797355,-0.105349780948822
"34869","Site",6,144,0.0416666666666667,0.0434683745783909,1.61487658797355,-0.0816035894282777
"38497","Site",8,190,0.0421052631578947,0.0434683745783909,1.61487658797355,-0.0709172338321915
"34","Site",2,49,0.0408163265306122,0.0434683745783909,1.61487658797355,-0.070068538412311
"34696","Site",12,283,0.0424028268551237,0.0434683745783909,1.61487658797355,-0.0676565352874666
"29254","Site",1,25,0.04,0.0434683745783909,1.61487658797355,-0.0654545180059243
"14393","Site",3,72,0.0416666666666667,0.0434683745783909,1.61487658797355,-0.057702451453898
"13333","Site",5,118,0.0423728813559322,0.0434683745783909,1.61487658797355,-0.044915302516873
"16424","Site",1,24,0.0416666666666667,0.0434683745783909,1.61487658797355,-0.0333145258798093
"30995","Site",1,24,0.0416666666666667,0.0434683745783909,1.61487658797355,-0.0333145258798093
"14164","Site",5,116,0.0431034482758621,0.0434683745783909,1.61487658797355,-0.0148346666548471
"17541","Site",25,576,0.0434027777777778,0.0434683745783909,1.61487658797355,-0.005942066802512
"6209","Site",1,23,0.0434782608695652,0.0434683745783909,1.61487658797355,0.000178953808602172
"29060","Site",7,161,0.0434782608695652,0.0434683745783909,1.61487658797355,0.000473467273729198
"28689","Site",14,321,0.043613707165109,0.0434683745783909,1.61487658797355,0.00982786427382597
"29192","Site",4,91,0.043956043956044,0.0434683745783909,1.61487658797355,0.0175585970458408
"37191","Site",2,45,0.0444444444444444,0.0434683745783909,1.61487658797355,0.0247133029159896
"37912","Site",2,45,0.0444444444444444,0.0434683745783909,1.61487658797355,0.0247133029159896
"33824","Site",8,180,0.0444444444444444,0.0434683745783909,1.61487658797355,0.0494266058319791
"18033","Site",2,43,0.0465116279069767,0.0434683745783909,1.61487658797355,0.0753209803373331
"28822","Site",6,132,0.0454545454545455,0.0434683745783909,1.61487658797355,0.0861285638110166
"14729","Site",12,266,0.0451127819548872,0.0434683745783909,1.61487658797355,0.101226417033788
"24917","Site",3,63,0.0476190476190476,0.0434683745783909,1.61487658797355,0.12434617467137
"37908","Site",9,194,0.0463917525773196,0.0434683745783909,1.61487658797355,0.153684288052546
"6416","Site",10,216,0.0462962962962963,0.0434683745783909,1.61487658797355,0.156869274943256
"9522","Site",19,417,0.0455635491606715,0.0434683745783909,1.61487658797355,0.161484883563136
"26880","Site",15,324,0.0462962962962963,0.0434683745783909,1.61487658797355,0.19212483996567
"5927","Site",8,167,0.0479041916167665,0.0434683745783909,1.61487658797355,0.216359261680016
"34071","Site",15,316,0.0474683544303797,0.0434683745783909,1.61487658797355,0.26837680324996
"17172","Site",11,228,0.0482456140350877,0.0434683745783909,1.61487658797355,0.272262648277588
"21129","Site",2,36,0.0555555555555556,0.0434683745783909,1.61487658797355,0.273728429393948
"34660","Site",8,162,0.0493827160493827,0.0434683745783909,1.61487658797355,0.284123746744074
"13081","Site",7,138,0.0507246376811594,0.0434683745783909,1.61487658797355,0.321733434390229
"6530","Site",11,223,0.0493273542600897,0.0434683745783909,1.61487658797355,0.330231162887984
"8560","Site",19,396,0.047979797979798,0.0434683745783909,1.61487658797355,0.338847910065968
"1028","Site",5,93,0.0537634408602151,0.0434683745783909,1.61487658797355,0.374726366285161
"17731","Site",3,52,0.0576923076923077,0.0434683745783909,1.61487658797355,0.387137288254541
"30776","Site",2,32,0.0625,0.0434683745783909,1.61487658797355,0.40634460774064
"25476","Site",7,130,0.0538461538461538,0.0434683745783909,1.61487658797355,0.44660104581169
"531","Site",37,774,0.0478036175710594,0.0434683745783909,1.61487658797355,0.455226521060377
"12432","Site",11,212,0.0518867924528302,0.0434683745783909,1.61487658797355,0.462638786778194
"27025","Site",3,49,0.0612244897959184,0.0434683745783909,1.61487658797355,0.469126131487266
"8594","Site",35,725,0.0482758620689655,0.0434683745783909,1.61487658797355,0.488574500356777
"17815","Site",3,47,0.0638297872340425,0.0434683745783909,1.61487658797355,0.526866353877527
