"GroupID","GroupLevel","Numerator","Denominator","Metric"
"SITE022","Site",0,144,0
"SITE101","Site",7,160,0.04375
"SITE1102","Site",4,288,0.0138888888888889
"SITE1233","Site",3,272,0.0110294117647059
"SITE1257","Site",1,448,0.00223214285714286
"SITE1273","Site",0,48,0
"SITE1544","Site",0,176,0
"SITE1727","Site",0,416,0
"SITE1748","Site",0,336,0
"SITE1750","Site",28,576,0.0486111111111111
"SITE1786","Site",21,352,0.0596590909090909
"SITE180","Site",21,576,0.0364583333333333
"SITE1841","Site",0,80,0
"SITE1910","Site",1,368,0.00271739130434783
"SITE1934","Site",0,176,0
"SITE1935","Site",0,80,0
"SITE1982","Site",33,464,0.0711206896551724
"SITE2030","Site",0,16,0
"SITE2062","Site",0,16,0
"SITE213","Site",6,1296,0.00462962962962963
"SITE216","Site",1,528,0.00189393939393939
"SITE2170","Site",8,864,0.00925925925925926
"SITE2192","Site",62,1424,0.0435393258426966
"SITE2323","Site",48,528,0.0909090909090909
"SITE2354","Site",0,144,0
"SITE2373","Site",0,384,0
"SITE2532","Site",15,896,0.0167410714285714
"SITE2883","Site",0,256,0
"SITE2894","Site",0,128,0
"SITE2901","Site",7,368,0.0190217391304348
"SITE2923","Site",0,96,0
"SITE2980","Site",5,272,0.0183823529411765
"SITE2986","Site",0,608,0
"SITE3068","Site",0,256,0
"SITE3077","Site",0,144,0
"SITE3081","Site",36,1008,0.0357142857142857
"SITE3090","Site",0,400,0
"SITE3289","Site",14,656,0.0213414634146341
"SITE3319","Site",0,352,0
"SITE3353","Site",0,304,0
"SITE3415","Site",1,272,0.00367647058823529
"SITE3719","Site",0,320,0
"SITE3754","Site",0,272,0
"SITE3759","Site",0,64,0
"SITE3839","Site",0,176,0
"SITE3871","Site",0,112,0
"SITE3909","Site",6,752,0.00797872340425532
"SITE3938","Site",0,336,0
"SITE3989","Site",19,576,0.0329861111111111
"SITE4028","Site",0,64,0
"SITE404","Site",0,208,0
"SITE4072","Site",0,432,0
"SITE4155","Site",0,80,0
"SITE4260","Site",13,496,0.0262096774193548
"SITE4264","Site",9,464,0.0193965517241379
"SITE4275","Site",0,64,0
"SITE4314","Site",11,576,0.0190972222222222
"SITE4323","Site",5,1408,0.00355113636363636
"SITE4424","Site",0,80,0
"SITE4485","Site",67,1184,0.0565878378378378
"SITE4543","Site",0,144,0
"SITE4590","Site",1,960,0.00104166666666667
"SITE4597","Site",0,128,0
"SITE4612","Site",0,32,0
"SITE4629","Site",13,704,0.0184659090909091
"SITE4671","Site",2,112,0.0178571428571429
"SITE4703","Site",0,48,0
"SITE4744","Site",0,32,0
"SITE4754","Site",0,80,0
"SITE4874","Site",0,432,0
"SITE4875","Site",0,80,0
"SITE4959","Site",42,1008,0.0416666666666667
"SITE4976","Site",0,16,0
"SITE5033","Site",37,768,0.0481770833333333
"SITE5062","Site",0,288,0
"SITE5185","Site",0,32,0
"SITE5217","Site",0,16,0
"SITE5289","Site",0,80,0
"SITE5384","Site",6,752,0.00797872340425532
"SITE5425","Site",0,144,0
"SITE5611","Site",0,352,0
"SITE5895","Site",30,800,0.0375
"SITE6068","Site",0,32,0
"SITE6123","Site",0,64,0
"SITE6155","Site",0,176,0
"SITE6184","Site",0,160,0
"SITE6384","Site",0,336,0
"SITE6405","Site",2,672,0.00297619047619048
"SITE6410","Site",0,352,0
"SITE6440","Site",0,16,0
"SITE6572","Site",0,176,0
"SITE6603","Site",0,848,0
"SITE6832","Site",0,320,0
"SITE6900","Site",1,656,0.00152439024390244
"SITE6991","Site",0,128,0
"SITE7004","Site",20,688,0.0290697674418605
"SITE7011","Site",2,624,0.0032051282051282
"SITE7096","Site",0,336,0
"SITE7184","Site",0,368,0
"SITE7208","Site",2,224,0.00892857142857143
"SITE7246","Site",0,64,0
"SITE7543","Site",0,96,0
"SITE759","Site",10,528,0.0189393939393939
"SITE7604","Site",6,240,0.025
"SITE7734","Site",0,32,0
"SITE7809","Site",0,688,0
"SITE7838","Site",0,96,0
"SITE7860","Site",0,128,0
"SITE7913","Site",0,64,0
"SITE7983","Site",16,896,0.0178571428571429
"SITE8084","Site",0,96,0
"SITE8091","Site",0,448,0
"SITE8210","Site",1,480,0.00208333333333333
"SITE8351","Site",1,816,0.00122549019607843
"SITE8354","Site",0,432,0
"SITE8361","Site",0,32,0
"SITE8420","Site",2,432,0.00462962962962963
"SITE8517","Site",1,656,0.00152439024390244
"SITE8616","Site",0,64,0
"SITE8625","Site",4,1184,0.00337837837837838
"SITE8627","Site",0,48,0
"SITE8633","Site",1,608,0.00164473684210526
"SITE8764","Site",1,352,0.00284090909090909
"SITE8768","Site",0,288,0
"SITE8786","Site",15,704,0.0213068181818182
"SITE8788","Site",6,576,0.0104166666666667
"SITE8799","Site",47,1264,0.0371835443037975
"SITE8835","Site",12,336,0.0357142857142857
"SITE8857","Site",0,160,0
"SITE8997","Site",3,144,0.0208333333333333
"SITE9082","Site",0,48,0
"SITE9142","Site",13,1552,0.00837628865979381
"SITE9147","Site",0,112,0
"SITE9346","Site",9,1168,0.00770547945205479
"SITE9360","Site",0,880,0
"SITE9395","Site",0,112,0
"SITE9414","Site",3,480,0.00625
"SITE9418","Site",0,128,0
"SITE9516","Site",0,128,0
"SITE958","Site",40,1024,0.0390625
"SITE9580","Site",0,528,0
"SITE9604","Site",5,320,0.015625
"SITE9661","Site",0,496,0
"SITE9737","Site",0,608,0
"SITE9766","Site",0,64,0
"SITE9858","Site",0,224,0
"SITE9884","Site",0,176,0
"SITE9888","Site",1,176,0.00568181818181818
