"GroupID","GroupLevel","Numerator","Denominator","Metric","OverallMetric","Factor","Score"
"28676","Site",5,989,0.00505561172901921,0.0151569127783669,1.21062256586186,-2.3631004441209
"34696","Site",19,2031,0.00935499753815854,0.0151569127783669,1.21062256586186,-1.94506027025644
"22033","Site",8,1034,0.00773694390715667,0.0151569127783669,1.21062256586186,-1.7748803206276
"21129","Site",3,523,0.00573613766730402,0.0151569127783669,1.21062256586186,-1.60267035028618
"257","Site",9,1047,0.00859598853868195,0.0151569127783669,1.21062256586186,-1.57922890779166
"20578","Site",15,1529,0.00981033355134074,0.0151569127783669,1.21062256586186,-1.5552007994278
"37728","Site",36,3122,0.011531069827034,0.0151569127783669,1.21062256586186,-1.50706561119228
"28822","Site",23,2126,0.0108184383819379,0.0151569127783669,1.21062256586186,-1.48807695242132
"17731","Site",9,1013,0.00888450148075025,0.0151569127783669,1.21062256586186,-1.48506674298607
"33617","Site",49,4065,0.0120541205412054,0.0151569127783669,1.21062256586186,-1.47159970670709
"37912","Site",3,472,0.00635593220338983,0.0151569127783669,1.21062256586186,-1.4223575526216
"8995","Site",29,2496,0.0116185897435897,0.0151569127783669,1.21062256586186,-1.31500223712791
"34660","Site",17,1579,0.0107663077897403,0.0151569127783669,1.21062256586186,-1.29784298169563
"17444","Site",11,1074,0.0102420856610801,0.0151569127783669,1.21062256586186,-1.19816632092088
"26674","Site",24,2064,0.0116279069767442,0.0151569127783669,1.21062256586186,-1.19265254768158
"39000","Site",4,499,0.00801603206412826,0.0151569127783669,1.21062256586186,-1.18661210019778
"13333","Site",11,1066,0.0103189493433396,0.0151569127783669,1.21062256586186,-1.17502716074703
"1881","Site",25,2103,0.011887779362815,0.0151569127783669,1.21062256586186,-1.11521602808851
"30019","Site",5,557,0.00897666068222621,0.0151569127783669,1.21062256586186,-1.08502691057999
"33824","Site",11,1018,0.0108055009823183,0.0151569127783669,1.21062256586186,-1.03278707714169
"22677","Site",39,3074,0.0126870527000651,0.0151569127783669,1.21062256586186,-1.01866410593879
"18806","Site",5,538,0.00929368029739777,0.0151569127783669,1.21062256586186,-1.01166092027442
"6452","Site",19,1613,0.0117792932424055,0.0151569127783669,1.21062256586186,-1.0091009917968
"34326","Site",5,527,0.0094876660341556,0.0151569127783669,1.21062256586186,-0.968138271009364
"18777","Site",32,2535,0.0126232741617357,0.0151569127783669,1.21062256586186,-0.948943538570517
"12937","Site",33,2599,0.0126971912273952,0.0151569127783669,1.21062256586186,-0.932815615005107
"5927","Site",26,2092,0.0124282982791587,0.0151569127783669,1.21062256586186,-0.928388482622126
"14601","Site",32,2516,0.0127186009538951,0.0151569127783669,1.21062256586186,-0.909811212075472
"6416","Site",19,1556,0.0122107969151671,0.0151569127783669,1.21062256586186,-0.864492719807394
"30729","Site",20,1628,0.0122850122850123,0.0151569127783669,1.21062256586186,-0.86199214827643
"6453","Site",5,497,0.0100603621730382,0.0151569127783669,1.21062256586186,-0.845203441238
"9075","Site",27,2124,0.0127118644067797,0.0151569127783669,1.21062256586186,-0.838245890601606
"12407","Site",5,495,0.0101010101010101,0.0151569127783669,1.21062256586186,-0.836773708893655
"10531","Site",5,493,0.0101419878296146,0.0151569127783669,1.21062256586186,-0.828313269930665
"39044","Site",12,1023,0.0117302052785924,0.0151569127783669,1.21062256586186,-0.815307755218827
"34355","Site",26,2036,0.012770137524558,0.0151569127783669,1.21062256586186,-0.801137636143411
"17172","Site",27,2099,0.0128632682229633,0.0151569127783669,1.21062256586186,-0.781698101440358
"14164","Site",13,1072,0.0121268656716418,0.0151569127783669,1.21062256586186,-0.737995127427998
"8560","Site",42,3114,0.0134874759152216,0.0151569127783669,1.21062256586186,-0.693004451887081
"18549","Site",13,1056,0.0123106060606061,0.0151569127783669,1.21062256586186,-0.688050600664889
"17808","Site",71,5120,0.0138671875,0.0151569127783669,1.21062256586186,-0.68649742712924
"4659","Site",6,535,0.011214953271028,0.0151569127783669,1.21062256586186,-0.678259321703937
"14729","Site",28,2122,0.0131950989632422,0.0151569127783669,1.21062256586186,-0.672259889418053
"14449","Site",13,1031,0.0126091173617847,0.0151569127783669,1.21062256586186,-0.608556080416659
"10371","Site",20,1512,0.0132275132275132,0.0151569127783669,1.21062256586186,-0.558090705885612
"16992","Site",13,1007,0.012909632571996,0.0151569127783669,1.21062256586186,-0.530491809862742
"38272","Site",28,2059,0.0135988343856241,0.0151569127783669,1.21062256586186,-0.525925464986598
"24867","Site",6,498,0.0120481927710843,0.0151569127783669,1.21062256586186,-0.516063330744199
"16498","Site",21,1560,0.0134615384615385,0.0151569127783669,1.21062256586186,-0.498120735123754
"17187","Site",88,6082,0.0144689246958237,0.0151569127783669,1.21062256586186,-0.399126758224448
"33620","Site",31,2202,0.014078110808356,0.0151569127783669,1.21062256586186,-0.376579877293603
"21380","Site",52,3631,0.0143211236573947,0.0151569127783669,1.21062256586186,-0.374642083252068
