"Threshold","Denominator","LogDenominator","Numerator","Metric","MetricID","StudyID","SnapshotDate"
-2,9725.08,9.18246339467389,632.209746554548,0.0650081795270114,"Analysis_cou0001","AA-AA-000-0000",2026-07-28
-2,9742,9.18420171436649,633.395545311016,0.0650169929491907,"Analysis_cou0001","AA-AA-000-0000",2026-07-28
-2,9758.92,9.18593701754664,634.581418531968,0.0650257834403774,"Analysis_cou0001","AA-AA-000-0000",2026-07-28
-2,9775.84,9.18766931466533,635.767366023827,0.0650345510998366,"Analysis_cou0001","AA-AA-000-0000",2026-07-28
-2,9792.76,9.18939861611935,636.953387593855,0.0650432960262331,"Analysis_cou0001","AA-AA-000-0000",2026-07-28
-2,9809.68,9.19112493225163,638.139483050145,0.0650520183176357,"Analysis_cou0001","AA-AA-000-0000",2026-07-28
-2,9826.6,9.19284827335163,639.325652201618,0.065060718071522,"Analysis_cou0001","AA-AA-000-0000",2026-07-28
-2,9843.52,9.19456864965571,640.511894858017,0.0650693953847828,"Analysis_cou0001","AA-AA-000-0000",2026-07-28
-2,9860.44,9.19628607134748,641.698210829903,0.0650780503537269,"Analysis_cou0001","AA-AA-000-0000",2026-07-28
-2,9877.36,9.19800054855817,642.884599928646,0.0650866830740852,"Analysis_cou0001","AA-AA-000-0000",2026-07-28
-2,9894.28,9.199712091367,644.071061966429,0.0650952936410157,"Analysis_cou0001","AA-AA-000-0000",2026-07-28
-2,9911.2,9.20142070980153,645.257596756232,0.0651038821491072,"Analysis_cou0001","AA-AA-000-0000",2026-07-28
-2,9928.12,9.20312641383799,646.444204111836,0.0651124486923844,"Analysis_cou0001","AA-AA-000-0000",2026-07-28
-2,9945.04,9.20482921340165,647.630883847815,0.0651209933643117,"Analysis_cou0001","AA-AA-000-0000",2026-07-28
-2,9961.96,9.20652911836719,648.81763577953,0.0651295162577976,"Analysis_cou0001","AA-AA-000-0000",2026-07-28
-2,9978.88,9.20822613855898,650.004459723127,0.0651380174651992,"Analysis_cou0001","AA-AA-000-0000",2026-07-28
-2,9995.8,9.20992028375148,651.19135549553,0.0651464970783259,"Analysis_cou0001","AA-AA-000-0000",2026-07-28
-2,10012.72,9.21161156366955,652.378322914438,0.0651549551884441,"Analysis_cou0001","AA-AA-000-0000",2026-07-28
-2,10029.64,9.2132999879888,653.565361798321,0.0651633918862811,"Analysis_cou0001","AA-AA-000-0000",2026-07-28
-2,10046.56,9.21498556633591,654.752471966411,0.0651718072620291,"Analysis_cou0001","AA-AA-000-0000",2026-07-28
-2,10063.48,9.21666830828894,655.939653238704,0.0651802014053492,"Analysis_cou0001","AA-AA-000-0000",2026-07-28
-2,10080.4,9.21834822337771,657.12690543595,0.0651885744053758,"Analysis_cou0001","AA-AA-000-0000",2026-07-28
-2,10097.32,9.22002532108408,658.314228379653,0.0651969263507201,"Analysis_cou0001","AA-AA-000-0000",2026-07-28
-2,10114.24,9.22169961084227,659.501621892064,0.0652052573294745,"Analysis_cou0001","AA-AA-000-0000",2026-07-28
-2,10131.16,9.22337110203922,660.689085796174,0.0652135674292158,"Analysis_cou0001","AA-AA-000-0000",2026-07-28
-2,10148.08,9.22503980401486,661.876619915718,0.0652218567370101,"Analysis_cou0001","AA-AA-000-0000",2026-07-28
