"GroupID","GroupLevel","Numerator","Denominator","Metric","Score","Flag"
"SITE7838","Site",7,32,0.21875,4.21798626582505,2
"SITE2894","Site",4,39,0.102564102564103,1.72885217096028,0
"SITE8997","Site",5,49,0.102040816326531,1.92308532413858,0
"SITE4155","Site",3,35,0.0857142857142857,1.23557215815931,0
"SITE9395","Site",3,35,0.0857142857142857,1.23557215815931,0
"SITE5289","Site",3,36,0.0833333333333333,1.19545680090978,0
"SITE3839","Site",6,72,0.0833333333333333,1.69063122107777,0
"SITE022","Site",4,49,0.0816326530612245,1.34666453532712,0
"SITE9516","Site",3,42,0.0714285714285714,0.979938118352518,0
"SITE6184","Site",4,59,0.0677966101694915,1.04888325412151,0
"SITE4754","Site",2,30,0.0666666666666667,0.722959313880636,0
"SITE9147","Site",3,45,0.0666666666666667,0.885440711900091,0
"SITE4597","Site",3,47,0.0638297872340425,0.826428966426492,0
"SITE7543","Site",2,32,0.0625,0.65156459070212,0
"SITE101","Site",7,117,0.0598290598290598,1.12930557168389,0
"SITE1786","Site",10,169,0.0591715976331361,1.32276966759729,0
"SITE5062","Site",7,120,0.0583333333333333,1.07758018100649,0
"SITE4543","Site",3,52,0.0576923076923077,0.690698573549421,0
"SITE1233","Site",6,106,0.0566037735849057,0.940922608782023,0
"SITE7096","Site",9,160,0.05625,1.13795226446163,0
"SITE3719","Site",9,163,0.0552147239263804,1.0952390491629,0
"SITE2323","Site",21,381,0.0551181102362205,1.66686170551647,0
"SITE2373","Site",10,183,0.0546448087431694,1.12937992470278,0
"SITE3938","Site",9,165,0.0545454545454545,1.06724971409298,0
"SITE3989","Site",19,350,0.0542857142857143,1.53477622069215,0
"SITE7860","Site",2,37,0.0540540540540541,0.493327268464484,0
"SITE8084","Site",2,38,0.0526315789473684,0.464568077747935,0
"SITE7011","Site",22,433,0.0508083140877598,1.41511567572609,0
"SITE4260","Site",13,259,0.0501930501930502,1.05450195186042,0
"SITE3871","Site",2,40,0.05,0.409480906190743,0
"SITE3068","Site",5,102,0.0490196078431373,0.613936656046753,0
"SITE1748","Site",6,125,0.048,0.633642689114865,0
"SITE9414","Site",12,250,0.048,0.896106084644801,0
"SITE6155","Site",3,63,0.0476190476190476,0.437641155871977,0
"SITE8835","Site",8,172,0.0465116279069767,0.664520652625332,0
"SITE1934","Site",3,67,0.0447761194029851,0.357426054485068,0
"SITE3353","Site",5,113,0.0442477876106195,0.441520475108709,0
"SITE8633","Site",19,431,0.0440835266821346,0.848524117771374,0
"SITE6572","Site",3,71,0.0422535211267606,0.282174868696757,0
"SITE2901","Site",11,262,0.0419847328244275,0.524495653702441,0
"SITE5611","Site",7,169,0.0414201183431953,0.391628393363407,0
"SITE8857","Site",3,73,0.0410958904109589,0.246212718134793,0
"SITE6832","Site",5,122,0.040983606557377,0.313290175344509,0
"SITE4264","Site",12,296,0.0405405405405405,0.457234448791356,0
"SITE5895","Site",20,497,0.0402414486921529,0.565572486319982,0
"SITE8354","Site",10,250,0.04,0.385721361316575,0
"SITE4485","Site",32,800,0.04,0.689999347422095,0
"SITE9604","Site",5,127,0.0393700787401575,0.246276019621356,0
"SITE958","Site",26,665,0.0390977443609023,0.535211416626273,0
"SITE4323","Site",37,977,0.037871033776868,0.494013689117162,0
"SITE8517","Site",17,450,0.0377777777777778,0.327290354560015,0
"SITE1544","Site",4,107,0.0373831775700935,0.143125092422012,0
"SITE7004","Site",14,376,0.0372340425531915,0.2566298360378,0
"SITE8786","Site",17,457,0.037199124726477,0.279913082799206,0
"SITE5033","Site",17,461,0.0368763557483731,0.253172663560397,0
"SITE8764","Site",9,246,0.0365853658536585,0.166525814138563,0
"SITE9661","Site",10,274,0.0364963503649635,0.169802190445457,0
"SITE1910","Site",9,247,0.0364372469635627,0.157471104961527,0
"SITE1102","Site",4,111,0.036036036036036,0.088507732873963,0
"SITE3754","Site",5,144,0.0347222222222222,0.0371953808394629,0
"SITE9360","Site",20,576,0.0347222222222222,0.0743907616789258,0
"SITE8625","Site",28,809,0.034610630407911,0.0753552123536517,0
"SITE6900","Site",15,436,0.0344036697247706,0.0378831344459097,0
"SITE2532","Site",20,583,0.0343053173241852,0.0342243202498244,0
"SITE4072","Site",6,177,0.0338983050847458,-0.00299137740058814,0
"SITE2192","Site",34,1005,0.0338308457711443,-0.0157570414269037,0
"SITE5425","Site",3,89,0.0337078651685393,-0.00937039969533998,0
"SITE2923","Site",1,30,0.0333333333333333,-0.013717579628924,0
"SITE404","Site",4,121,0.0330578512396694,-0.0397763428976167,0
"SITE180","Site",12,365,0.0328767123287671,-0.0830477290443039,0
"SITE8351","Site",19,580,0.0327586206896552,-0.116163098792023,0
"SITE8788","Site",12,367,0.0326975476839237,-0.0971240930941093,0
"SITE2883","Site",4,123,0.032520325203252,-0.064157860301829,0
"SITE7809","Site",14,434,0.032258064516129,-0.142560584320633,0
"SITE9737","Site",14,441,0.0317460317460317,-0.187092178635951,0
"SITE4874","Site",8,255,0.0313725490196078,-0.166332318409051,0
"SITE3909","Site",16,516,0.0310077519379845,-0.270045043589226,0
"SITE216","Site",8,258,0.0310077519379845,-0.190950681547759,0
"SITE1727","Site",6,195,0.0307692307692308,-0.179447328304271,0
"SITE759","Site",11,361,0.0304709141274238,-0.26702944828025,0
"SITE1257","Site",9,298,0.0302013422818792,-0.26138953487255,0
"SITE3081","Site",18,603,0.0298507462686567,-0.406562993719683,0
"SITE4590","Site",19,666,0.0285285285285285,-0.564956031760347,0
"SITE4314","Site",8,284,0.028169014084507,-0.393370129994777,0
