"GroupID","GroupLevel","Numerator","Denominator","Metric","OverallMetric","Factor","Score","Flag","Weight","WeightMax"
"SITE7838","Site",7,32,0.21875,0.044530087381234,1.32294235379381,4.06046290045542,2,32,32
"SITE2986","Site",5,255,0.0196078431372549,0.044530087381234,1.32294235379381,-1.63968341597064,0,0,32
"SITE1750","Site",6,277,0.0216606498194946,0.044530087381234,1.32294235379381,-1.56818802988435,0,0,32
"SITE8420","Site",3,180,0.0166666666666667,0.044530087381234,1.32294235379381,-1.5401869918288,0,0,32
"SITE3289","Site",7,301,0.0232558139534884,0.044530087381234,1.32294235379381,-1.52069021189451,0,0,32
"SITE3319","Site",2,138,0.0144927536231884,0.044530087381234,1.32294235379381,-1.45379673600226,0,0,32
"SITE9884","Site",0,61,0,0.044530087381234,1.32294235379381,-1.4329176459133,0,0,32
"SITE8091","Site",5,224,0.0223214285714286,0.044530087381234,1.32294235379381,-1.36945922961862,0,0,32
"SITE7208","Site",1,91,0.010989010989011,0.044530087381234,1.32294235379381,-1.31825812871414,0,0,32
"SITE9858","Site",1,90,0.0111111111111111,0.044530087381234,1.32294235379381,-1.30622250718978,0,0,32
"SITE3090","Site",5,212,0.0235849056603774,0.044530087381234,1.32294235379381,-1.2564778274493,0,0,32
"SITE3415","Site",2,118,0.0169491525423729,0.044530087381234,1.32294235379381,-1.23439101516005,0,0,32
"SITE4671","Site",0,43,0,0.044530087381234,1.32294235379381,-1.20306901358735,0,0,32
"SITE4629","Site",10,344,0.0290697674418605,0.044530087381234,1.32294235379381,-1.18140951523194,0,0,32
"SITE8799","Site",21,633,0.033175355450237,0.044530087381234,1.32294235379381,-1.17701366955699,0,0,32
"SITE2980","Site",2,110,0.0181818181818182,0.044530087381234,1.32294235379381,-1.13854762211044,0,0,32
"SITE6405","Site",10,338,0.029585798816568,0.044530087381234,1.32294235379381,-1.1319737636751,0,0,32
"SITE7983","Site",13,413,0.0314769975786925,0.044530087381234,1.32294235379381,-1.09292690618881,0,0,32
