"GroupID","GroupLevel","Numerator","Denominator","Metric"
"SITE022","Site",0,144,0
"SITE101","Site",0,144,0
"SITE1102","Site",4,288,0.0138888888888889
"SITE1233","Site",3,272,0.0110294117647059
"SITE1257","Site",0,400,0
"SITE1273","Site",0,48,0
"SITE1544","Site",0,160,0
"SITE1727","Site",0,400,0
"SITE1748","Site",0,336,0
"SITE1750","Site",22,512,0.04296875
"SITE1786","Site",21,336,0.0625
"SITE180","Site",10,512,0.01953125
"SITE1841","Site",0,80,0
"SITE1910","Site",0,336,0
"SITE1934","Site",0,176,0
"SITE1935","Site",0,80,0
"SITE1982","Site",27,416,0.0649038461538462
"SITE2030","Site",0,16,0
"SITE2062","Site",0,16,0
"SITE213","Site",4,1104,0.0036231884057971
"SITE216","Site",1,496,0.00201612903225806
"SITE2170","Site",0,784,0
"SITE2192","Site",45,1264,0.0356012658227848
"SITE2323","Site",38,480,0.0791666666666667
"SITE2354","Site",0,144,0
"SITE2373","Site",0,368,0
"SITE2532","Site",15,784,0.0191326530612245
"SITE2883","Site",0,240,0
"SITE2894","Site",0,128,0
"SITE2901","Site",1,320,0.003125
"SITE2923","Site",0,96,0
"SITE2980","Site",2,240,0.00833333333333333
"SITE2986","Site",0,544,0
"SITE3068","Site",0,256,0
"SITE3077","Site",0,144,0
"SITE3081","Site",23,912,0.025219298245614
"SITE3090","Site",0,368,0
"SITE3289","Site",10,592,0.0168918918918919
"SITE3319","Site",0,320,0
"SITE3353","Site",0,304,0
"SITE3415","Site",0,240,0
"SITE3719","Site",0,304,0
"SITE3754","Site",0,256,0
"SITE3759","Site",0,64,0
"SITE3839","Site",0,176,0
"SITE3871","Site",0,112,0
"SITE3909","Site",0,656,0
"SITE3938","Site",0,320,0
"SITE3989","Site",13,528,0.0246212121212121
"SITE4028","Site",0,64,0
"SITE404","Site",0,192,0
"SITE4072","Site",0,416,0
"SITE4155","Site",0,80,0
"SITE4260","Site",8,464,0.0172413793103448
"SITE4264","Site",9,432,0.0208333333333333
"SITE4275","Site",0,64,0
"SITE4314","Site",6,544,0.0110294117647059
"SITE4323","Site",4,1280,0.003125
"SITE4424","Site",0,80,0
"SITE4485","Site",55,1056,0.0520833333333333
"SITE4543","Site",0,144,0
"SITE4590","Site",0,864,0
"SITE4597","Site",0,128,0
"SITE4612","Site",0,32,0
"SITE4629","Site",9,592,0.0152027027027027
"SITE4671","Site",2,112,0.0178571428571429
"SITE4703","Site",0,48,0
"SITE4744","Site",0,32,0
"SITE4754","Site",0,80,0
"SITE4874","Site",0,384,0
"SITE4875","Site",0,80,0
"SITE4959","Site",33,912,0.0361842105263158
"SITE4976","Site",0,16,0
"SITE5033","Site",26,704,0.0369318181818182
"SITE5062","Site",0,288,0
"SITE5185","Site",0,32,0
"SITE5217","Site",0,16,0
"SITE5289","Site",0,80,0
"SITE5384","Site",0,672,0
"SITE5425","Site",0,128,0
"SITE5611","Site",0,320,0
"SITE5895","Site",18,736,0.0244565217391304
"SITE6068","Site",0,32,0
"SITE6123","Site",0,64,0
"SITE6155","Site",0,176,0
"SITE6184","Site",0,160,0
"SITE6384","Site",0,320,0
"SITE6405","Site",2,608,0.00328947368421053
"SITE6410","Site",0,320,0
"SITE6440","Site",0,16,0
"SITE6572","Site",0,176,0
"SITE6603","Site",0,752,0
"SITE6832","Site",0,320,0
"SITE6900","Site",0,592,0
"SITE6991","Site",0,128,0
"SITE7004","Site",16,640,0.025
"SITE7011","Site",1,560,0.00178571428571429
"SITE7096","Site",0,320,0
"SITE7184","Site",0,336,0
"SITE7208","Site",2,224,0.00892857142857143
"SITE7246","Site",0,64,0
"SITE7543","Site",0,96,0
"SITE759","Site",7,480,0.0145833333333333
"SITE7604","Site",0,208,0
"SITE7734","Site",0,32,0
"SITE7809","Site",0,624,0
"SITE7838","Site",0,96,0
"SITE7860","Site",0,128,0
"SITE7913","Site",0,64,0
"SITE7983","Site",11,848,0.0129716981132075
"SITE8084","Site",0,96,0
"SITE8091","Site",0,400,0
"SITE8210","Site",0,432,0
"SITE8351","Site",0,736,0
"SITE8354","Site",0,400,0
"SITE8361","Site",0,32,0
"SITE8420","Site",2,400,0.005
"SITE8517","Site",0,560,0
"SITE8616","Site",0,64,0
"SITE8625","Site",2,1040,0.00192307692307692
"SITE8627","Site",0,48,0
"SITE8633","Site",0,544,0
"SITE8764","Site",0,304,0
"SITE8768","Site",0,288,0
"SITE8786","Site",11,640,0.0171875
"SITE8788","Site",5,528,0.00946969696969697
"SITE8799","Site",34,1136,0.0299295774647887
"SITE8835","Site",12,320,0.0375
"SITE8857","Site",0,160,0
"SITE8997","Site",3,144,0.0208333333333333
"SITE9082","Site",0,48,0
"SITE9142","Site",8,1376,0.00581395348837209
"SITE9147","Site",0,112,0
"SITE9346","Site",7,1040,0.00673076923076923
"SITE9360","Site",0,800,0
"SITE9395","Site",0,112,0
"SITE9414","Site",2,448,0.00446428571428571
"SITE9418","Site",0,128,0
"SITE9516","Site",0,128,0
"SITE958","Site",32,928,0.0344827586206897
"SITE9580","Site",0,480,0
"SITE9604","Site",5,320,0.015625
"SITE9661","Site",0,448,0
"SITE9737","Site",0,528,0
"SITE9766","Site",0,64,0
"SITE9858","Site",0,224,0
"SITE9884","Site",0,176,0
"SITE9888","Site",1,160,0.00625
