"GroupID","GroupLevel","Numerator","Denominator","Metric","Score","Flag"
"SITE2323","Site",38,480,0.0791666666666667,4.89109172386707,2
"SITE1982","Site",27,416,0.0649038461538462,3.60199650527355,2
"SITE1786","Site",21,336,0.0625,3.09307359733417,2
"SITE4485","Site",55,1056,0.0520833333333333,4.37641591924643,2
"SITE1750","Site",22,512,0.04296875,2.37287036108642,1
"SITE5033","Site",26,704,0.0369318181818182,2.25859990689796,1
"SITE4959","Site",33,912,0.0361842105263158,2.49685862000384,1
"SITE2192","Site",45,1264,0.0356012658227848,2.87169810075706,1
"SITE958","Site",32,928,0.0344827586206897,2.34915874279094,1
"SITE8799","Site",34,1136,0.0299295774647887,2.09724960166456,1
"SITE8835","Site",12,320,0.0375,1.55598736887195,0
"SITE3081","Site",23,912,0.025219298245614,1.41393870743521,0
"SITE7004","Site",16,640,0.025,1.16632409787845,0
"SITE3989","Site",13,528,0.0246212121212121,1.03090175844441,0
"SITE5895","Site",18,736,0.0244565217391304,1.20252462629737,0
"SITE8997","Site",3,144,0.0208333333333333,0.389718774954536,0
"SITE4264","Site",9,432,0.0208333333333333,0.675012718884758,0
"SITE180","Site",10,512,0.01953125,0.638507264009693,0
"SITE2532","Site",15,784,0.0191326530612245,0.753613026388184,0
"SITE4671","Site",2,112,0.0178571428571429,0.24069342320486,0
"SITE4260","Site",8,464,0.0172413793103448,0.446529908787485,0
"SITE8786","Site",11,640,0.0171875,0.519965134090009,0
"SITE3289","Site",10,592,0.0168918918918919,0.476564630923036,0
"SITE9604","Site",5,320,0.015625,0.276261911020515,0
"SITE4629","Site",9,592,0.0152027027027027,0.342154221083312,0
"SITE759","Site",7,480,0.0145833333333333,0.263715254335939,0
"SITE1102","Site",4,288,0.0138888888888889,0.165731555479528,0
"SITE7983","Site",11,848,0.0129716981132075,0.197037455246145,0
"SITE1233","Site",3,272,0.0110294117647059,0.00683354932433475,0
"SITE4314","Site",6,544,0.0110294117647059,0.0096640981336197,0
"SITE8788","Site",5,528,0.00946969696969697,-0.107686718988698,0
"SITE7208","Site",2,224,0.00892857142857143,-0.0966265191918491,0
"SITE2980","Site",2,240,0.00833333333333333,-0.13017508574787,0
"SITE9346","Site",7,1040,0.00673076923076923,-0.439996279165743,0
"SITE9888","Site",1,160,0.00625,-0.192468707606901,0
"SITE9142","Site",8,1376,0.00581395348837209,-0.617326625734714,0
"SITE8420","Site",2,400,0.005,-0.386078407638902,0
"SITE9414","Site",2,448,0.00446428571428571,-0.445669224093886,0
"SITE213","Site",4,1104,0.0036231884057971,-0.791008931296954,0
"SITE6405","Site",2,608,0.00328947368421053,-0.613924691799453,0
"SITE4323","Site",4,1280,0.003125,-0.910019558360614,0
"SITE2901","Site",1,320,0.003125,-0.455009779180307,0
"SITE216","Site",1,496,0.00201612903225806,-0.647246195673953,0
"SITE8625","Site",2,1040,0.00192307692307692,-0.947041966726181,0
"SITE7011","Site",1,560,0.00178571428571429,-0.705569379536749,0
"SITE4590","Site",0,864,0,-1.04805786011844,0
"SITE9360","Site",0,800,0,-1.00849414610947,0
"SITE2170","Site",0,784,0,-0.99835826930132,0
"SITE6603","Site",0,752,0,-0.977771351683431,0
"SITE8351","Site",0,736,0,-0.967313603397628,0
"SITE5384","Site",0,672,0,-0.9243001524933,0
"SITE3909","Site",0,656,0,-0.913230290257828,0
"SITE7809","Site",0,624,0,-0.890677913353033,0
"SITE6900","Site",0,592,0,-0.867539467474207,0
"SITE8517","Site",0,560,0,-0.843766739043409,0
"SITE2986","Site",0,544,0,-0.831625577445287,0
"SITE8633","Site",0,544,0,-0.831625577445287,0
"SITE9737","Site",0,528,0,-0.819304517384388,0
"SITE9580","Site",0,480,0,-0.781176206525929,0
"SITE9661","Site",0,448,0,-0.754687914261755,0
"SITE8210","Site",0,432,0,-0.741088819965608,0
"SITE4072","Site",0,416,0,-0.727235470960593,0
"SITE1257","Site",0,400,0,-0.713113049500943,0
"SITE1727","Site",0,400,0,-0.713113049500943,0
"SITE8091","Site",0,400,0,-0.713113049500943,0
"SITE8354","Site",0,400,0,-0.713113049500943,0
"SITE4874","Site",0,384,0,-0.698705240078957,0
"SITE2373","Site",0,368,0,-0.683994008496457,0
"SITE3090","Site",0,368,0,-0.683994008496457,0
"SITE1748","Site",0,336,0,-0.653578905679772,0
"SITE1910","Site",0,336,0,-0.653578905679772,0
"SITE7184","Site",0,336,0,-0.653578905679772,0
"SITE3319","Site",0,320,0,-0.637827701730512,0
"SITE3938","Site",0,320,0,-0.637827701730512,0
"SITE5611","Site",0,320,0,-0.637827701730512,0
"SITE6384","Site",0,320,0,-0.637827701730512,0
"SITE6410","Site",0,320,0,-0.637827701730512,0
"SITE6832","Site",0,320,0,-0.637827701730512,0
"SITE7096","Site",0,320,0,-0.637827701730512,0
"SITE3353","Site",0,304,0,-0.621677543618946,0
"SITE3719","Site",0,304,0,-0.621677543618946,0
"SITE8764","Site",0,304,0,-0.621677543618946,0
"SITE5062","Site",0,288,0,-0.605096487665682,0
"SITE8768","Site",0,288,0,-0.605096487665682,0
"SITE3068","Site",0,256,0,-0.570490439600754,0
"SITE3754","Site",0,256,0,-0.570490439600754,0
"SITE2883","Site",0,240,0,-0.552374992936067,0
"SITE3415","Site",0,240,0,-0.552374992936067,0
"SITE9858","Site",0,224,0,-0.533644941854019,0
"SITE7604","Site",0,208,0,-0.514233133035628,0
"SITE404","Site",0,192,0,-0.494059213310405,0
"SITE1934","Site",0,176,0,-0.473025683660153,0
"SITE3839","Site",0,176,0,-0.473025683660153,0
"SITE6155","Site",0,176,0,-0.473025683660153,0
"SITE6572","Site",0,176,0,-0.473025683660153,0
"SITE9884","Site",0,176,0,-0.473025683660153,0
"SITE1544","Site",0,160,0,-0.451012293122276,0
"SITE6184","Site",0,160,0,-0.451012293122276,0
"SITE8857","Site",0,160,0,-0.451012293122276,0
"SITE022","Site",0,144,0,-0.427867829700566,0
"SITE101","Site",0,144,0,-0.427867829700566,0
"SITE2354","Site",0,144,0,-0.427867829700566,0
"SITE3077","Site",0,144,0,-0.427867829700566,0
"SITE4543","Site",0,144,0,-0.427867829700566,0
"SITE2894","Site",0,128,0,-0.403397658443788,0
"SITE4597","Site",0,128,0,-0.403397658443788,0
"SITE5425","Site",0,128,0,-0.403397658443788,0
"SITE6991","Site",0,128,0,-0.403397658443788,0
"SITE7860","Site",0,128,0,-0.403397658443788,0
"SITE9418","Site",0,128,0,-0.403397658443788,0
"SITE9516","Site",0,128,0,-0.403397658443788,0
"SITE3871","Site",0,112,0,-0.377343957130878,0
"SITE9147","Site",0,112,0,-0.377343957130878,0
"SITE9395","Site",0,112,0,-0.377343957130878,0
"SITE2923","Site",0,96,0,NA,NA
"SITE7543","Site",0,96,0,NA,NA
"SITE7838","Site",0,96,0,NA,NA
"SITE8084","Site",0,96,0,NA,NA
"SITE1841","Site",0,80,0,NA,NA
"SITE1935","Site",0,80,0,NA,NA
"SITE4155","Site",0,80,0,NA,NA
"SITE4424","Site",0,80,0,NA,NA
"SITE4754","Site",0,80,0,NA,NA
"SITE4875","Site",0,80,0,NA,NA
"SITE5289","Site",0,80,0,NA,NA
"SITE3759","Site",0,64,0,NA,NA
"SITE4028","Site",0,64,0,NA,NA
"SITE4275","Site",0,64,0,NA,NA
"SITE6123","Site",0,64,0,NA,NA
"SITE7246","Site",0,64,0,NA,NA
"SITE7913","Site",0,64,0,NA,NA
"SITE8616","Site",0,64,0,NA,NA
"SITE9766","Site",0,64,0,NA,NA
"SITE1273","Site",0,48,0,NA,NA
"SITE4703","Site",0,48,0,NA,NA
"SITE8627","Site",0,48,0,NA,NA
"SITE9082","Site",0,48,0,NA,NA
"SITE4612","Site",0,32,0,NA,NA
"SITE4744","Site",0,32,0,NA,NA
"SITE5185","Site",0,32,0,NA,NA
"SITE6068","Site",0,32,0,NA,NA
"SITE7734","Site",0,32,0,NA,NA
"SITE8361","Site",0,32,0,NA,NA
"SITE2030","Site",0,16,0,NA,NA
"SITE2062","Site",0,16,0,NA,NA
"SITE4976","Site",0,16,0,NA,NA
"SITE5217","Site",0,16,0,NA,NA
"SITE6440","Site",0,16,0,NA,NA
