"GroupLevel","GroupID","MetricID","Numerator","Denominator","Metric","Score","Flag"
"Site","SITE022","Analysis_srs0001",5,114,4.3859649122807,4.3859649122807,NA
"Site","SITE101","Analysis_srs0001",8,114,7.01754385964912,7.01754385964912,NA
"Site","SITE1102","Analysis_srs0001",0,114,0,0,NA
"Site","SITE1233","Analysis_srs0001",0,114,0,0,NA
"Site","SITE1257","Analysis_srs0001",0,114,0,0,NA
"Site","SITE1273","Analysis_srs0001",0,114,0,0,NA
"Site","SITE1544","Analysis_srs0001",0,114,0,0,NA
"Site","SITE1727","Analysis_srs0001",0,114,0,0,NA
"Site","SITE1748","Analysis_srs0001",8,114,7.01754385964912,7.01754385964912,NA
"Site","SITE1750","Analysis_srs0001",2,114,1.75438596491228,1.75438596491228,NA
"Site","SITE1786","Analysis_srs0001",1,114,0.87719298245614,0.87719298245614,NA
"Site","SITE180","Analysis_srs0001",16,114,14.0350877192982,14.0350877192982,NA
"Site","SITE1841","Analysis_srs0001",0,114,0,0,NA
"Site","SITE1910","Analysis_srs0001",0,114,0,0,NA
"Site","SITE1934","Analysis_srs0001",1,114,0.87719298245614,0.87719298245614,NA
"Site","SITE1935","Analysis_srs0001",0,114,0,0,NA
"Site","SITE1982","Analysis_srs0001",2,114,1.75438596491228,1.75438596491228,NA
"Site","SITE2030","Analysis_srs0001",0,114,0,0,NA
"Site","SITE213","Analysis_srs0001",1,114,0.87719298245614,0.87719298245614,NA
"Site","SITE216","Analysis_srs0001",0,114,0,0,NA
"Site","SITE2170","Analysis_srs0001",16,114,14.0350877192982,14.0350877192982,NA
"Site","SITE2192","Analysis_srs0001",2,114,1.75438596491228,1.75438596491228,NA
"Site","SITE2323","Analysis_srs0001",2,114,1.75438596491228,1.75438596491228,NA
"Site","SITE2354","Analysis_srs0001",0,114,0,0,NA
"Site","SITE2373","Analysis_srs0001",16,114,14.0350877192982,14.0350877192982,NA
"Site","SITE2532","Analysis_srs0001",0,114,0,0,NA
"Site","SITE2883","Analysis_srs0001",0,114,0,0,NA
"Site","SITE2894","Analysis_srs0001",0,114,0,0,NA
"Site","SITE2901","Analysis_srs0001",4,114,3.50877192982456,3.50877192982456,NA
"Site","SITE2923","Analysis_srs0001",0,114,0,0,NA
"Site","SITE2980","Analysis_srs0001",0,114,0,0,NA
"Site","SITE2986","Analysis_srs0001",16,114,14.0350877192982,14.0350877192982,NA
"Site","SITE3068","Analysis_srs0001",0,114,0,0,NA
"Site","SITE3077","Analysis_srs0001",0,114,0,0,NA
"Site","SITE3081","Analysis_srs0001",0,114,0,0,NA
"Site","SITE3090","Analysis_srs0001",0,114,0,0,NA
"Site","SITE3289","Analysis_srs0001",0,114,0,0,NA
"Site","SITE3319","Analysis_srs0001",0,114,0,0,NA
"Site","SITE3353","Analysis_srs0001",4,114,3.50877192982456,3.50877192982456,NA
"Site","SITE3415","Analysis_srs0001",0,114,0,0,NA
"Site","SITE3719","Analysis_srs0001",0,114,0,0,NA
"Site","SITE3754","Analysis_srs0001",0,114,0,0,NA
"Site","SITE3759","Analysis_srs0001",0,114,0,0,NA
"Site","SITE3839","Analysis_srs0001",5,114,4.3859649122807,4.3859649122807,NA
"Site","SITE3871","Analysis_srs0001",0,114,0,0,NA
"Site","SITE3909","Analysis_srs0001",0,114,0,0,NA
"Site","SITE3938","Analysis_srs0001",0,114,0,0,NA
"Site","SITE3989","Analysis_srs0001",0,114,0,0,NA
"Site","SITE4028","Analysis_srs0001",0,114,0,0,NA
"Site","SITE404","Analysis_srs0001",0,114,0,0,NA
"Site","SITE4072","Analysis_srs0001",0,114,0,0,NA
"Site","SITE4155","Analysis_srs0001",0,114,0,0,NA
"Site","SITE4260","Analysis_srs0001",0,114,0,0,NA
"Site","SITE4264","Analysis_srs0001",0,114,0,0,NA
