"GroupID","GroupLevel","Numerator","Denominator","Metric","Score","Flag"
"21129","Site",3,4,0.75,2.31812411289246,1
"36994","Site",3,4,0.75,2.31812411289246,1
"257","Site",5,7,0.714285714285714,2.85184275968818,1
"29192","Site",6,10,0.6,2.5872536808344,1
"18548","Site",7,14,0.5,2.2109243281572,1
"33617","Site",8,17,0.470588235294118,2.16071814517461,1
"17013","Site",2,3,0.666666666666667,1.67952261094077,0
"18260","Site",2,3,0.666666666666667,1.67952261094077,0
"16424","Site",3,5,0.6,1.82946462236786,0
"18244","Site",2,4,0.5,1.18178876343537,0
"29254","Site",2,4,0.5,1.18178876343537,0
"37191","Site",2,4,0.5,1.18178876343537,0
"25616","Site",4,8,0.5,1.67130169711043,0
"32913","Site",5,10,0.5,1.86857210282485,0
"38272","Site",4,9,0.444444444444444,1.39390469533403,0
"34","Site",3,7,0.428571428571429,1.13386519361096,0
"13333","Site",3,7,0.428571428571429,1.13386519361096,0
"14648","Site",3,7,0.428571428571429,1.13386519361096,0
"6209","Site",2,5,0.4,0.813095387719049,0
"10371","Site",2,5,0.4,0.813095387719049,0
"24917","Site",2,5,0.4,0.813095387719049,0
"8995","Site",4,10,0.4,1.14989052481529,0
"38711","Site",4,10,0.4,1.14989052481529,0
"34694","Site",5,13,0.384615384615385,1.18501182968444,0
"4695","Site",3,8,0.375,0.86779126580734,0
"6022","Site",3,8,0.375,0.86779126580734,0
"9075","Site",3,8,0.375,0.86779126580734,0
"17961","Site",4,11,0.363636363636364,0.931920957568455,0
"21380","Site",4,11,0.363636363636364,0.931920957568455,0
"22677","Site",5,14,0.357142857142857,0.99613074125764,0
"16725","Site",1,3,0.333333333333333,0.367395571143293,0
"18033","Site",1,3,0.333333333333333,0.367395571143293,0
"18549","Site",1,3,0.333333333333333,0.367395571143293,0
"30019","Site",1,3,0.333333333333333,0.367395571143293,0
"34903","Site",1,3,0.333333333333333,0.367395571143293,0
"39048","Site",1,3,0.333333333333333,0.367395571143293,0
"10497","Site",2,6,0.333333333333333,0.519575799466654,0
"12392","Site",2,6,0.333333333333333,0.519575799466654,0
"14164","Site",2,6,0.333333333333333,0.519575799466654,0
"34660","Site",2,6,0.333333333333333,0.519575799466654,0
"1881","Site",3,9,0.333333333333333,0.63634779569597,0
"22033","Site",3,9,0.333333333333333,0.63634779569597,0
"16992","Site",4,12,0.333333333333333,0.734791142286586,0
"5960","Site",3,10,0.3,0.431208946805733,0
"10630","Site",3,10,0.3,0.431208946805733,0
"12937","Site",3,10,0.3,0.431208946805733,0
"6530","Site",2,7,0.285714285714286,0.274876410572355,0
"13081","Site",2,7,0.285714285714286,0.274876410572355,0
"29060","Site",2,7,0.285714285714286,0.274876410572355,0
"35223","Site",2,7,0.285714285714286,0.274876410572355,0
"1028","Site",1,4,0.25,0.0454534139782836,0
"9044","Site",1,4,0.25,0.0454534139782836,0
"10531","Site",1,4,0.25,0.0454534139782836,0
"12407","Site",1,4,0.25,0.0454534139782836,0
"17731","Site",1,4,0.25,0.0454534139782836,0
"17815","Site",1,4,0.25,0.0454534139782836,0
"27025","Site",1,4,0.25,0.0454534139782836,0
"37912","Site",1,4,0.25,0.0454534139782836,0
"25605","Site",2,8,0.25,0.0642808345042474,0
"28689","Site",2,8,0.25,0.0642808345042474,0
"33296","Site",2,8,0.25,0.0642808345042474,0
"33620","Site",2,8,0.25,0.0642808345042474,0
"34071","Site",2,8,0.25,0.0642808345042474,0
"20531","Site",3,13,0.230769230769231,-0.0756390529585812,0
"384","Site",2,9,0.222222222222222,-0.121209103942089,0
"5968","Site",2,9,0.222222222222222,-0.121209103942089,0
"37908","Site",2,9,0.222222222222222,-0.121209103942089,0
"38497","Site",2,9,0.222222222222222,-0.121209103942089,0
"37702","Site",3,14,0.214285714285714,-0.218662845641921,0
"534","Site",2,10,0.2,-0.287472631203822,0
"6452","Site",1,5,0.2,-0.203273846929762,0
"10624","Site",1,5,0.2,-0.203273846929762,0
"30212","Site",1,5,0.2,-0.203273846929762,0
"37781","Site",1,5,0.2,-0.203273846929762,0
"38166","Site",1,5,0.2,-0.203273846929762,0
"39044","Site",1,5,0.2,-0.203273846929762,0
"26115","Site",2,11,0.181818181818182,-0.438551038855743,0
"28676","Site",2,11,0.181818181818182,-0.438551038855743,0
"37728","Site",2,11,0.181818181818182,-0.438551038855743,0
"37186","Site",3,18,0.166666666666667,-0.707089179546721,0
"6416","Site",1,6,0.166666666666667,-0.408238128152371,0
"12432","Site",1,6,0.166666666666667,-0.408238128152371,0
"16996","Site",1,6,0.166666666666667,-0.408238128152371,0
"20578","Site",1,6,0.166666666666667,-0.408238128152371,0
"26674","Site",1,6,0.166666666666667,-0.408238128152371,0
"28822","Site",1,6,0.166666666666667,-0.408238128152371,0
"38404","Site",1,6,0.166666666666667,-0.408238128152371,0
"9522","Site",2,13,0.153846153846154,-0.705964494280092,0
"18777","Site",2,13,0.153846153846154,-0.705964494280092,0
"34341","Site",2,14,0.142857142857143,-0.826059639091701,0
"4659","Site",1,7,0.142857142857143,-0.584112372466254,0
"14393","Site",1,7,0.142857142857143,-0.584112372466254,0
"33824","Site",1,7,0.142857142857143,-0.584112372466254,0
"34355","Site",1,7,0.142857142857143,-0.584112372466254,0
"34696","Site",1,7,0.142857142857143,-0.584112372466254,0
"8594","Site",2,16,0.125,-1.04542852150052,0
"13139","Site",1,8,0.125,-0.739229596798845,0
"14601","Site",1,8,0.125,-0.739229596798845,0
"14729","Site",1,8,0.125,-0.739229596798845,0
"26880","Site",1,8,0.125,-0.739229596798845,0
"30729","Site",1,8,0.125,-0.739229596798845,0
"17172","Site",1,9,0.111111111111111,-0.878766003580148,0
"2392","Site",1,12,0.0833333333333333,-1.23339941740963,0
"12417","Site",1,12,0.0833333333333333,-1.23339941740963,0
"17808","Site",1,13,0.0769230769230769,-1.3362899356016,0
"31107","Site",1,14,0.0714285714285714,-1.43345643254148,0
"34713","Site",1,14,0.0714285714285714,-1.43345643254148,0
"17187","Site",1,15,0.0666666666666667,-1.52568273317342,0
"531","Site",0,11,0,-1.80902303527994,0
"17541","Site",0,11,0,-1.80902303527994,0
"8560","Site",0,10,0,-1.72483578722293,0
"16498","Site",0,9,0,-1.63632290321821,0
"5927","Site",0,7,0,-1.44310115550486,0
"34664","Site",0,7,0,-1.44310115550486,0
"10388","Site",0,5,0,-1.21964308157857,0
"14105","Site",0,5,0,-1.21964308157857,0
"24964","Site",0,5,0,-1.21964308157857,0
"25476","Site",0,5,0,-1.21964308157857,0
"34869","Site",0,5,0,-1.21964308157857,0
"4354","Site",0,4,0,-1.0908819354788,0
"30816","Site",0,4,0,-1.0908819354788,0
"39000","Site",0,4,0,-1.0908819354788,0
"14449","Site",0,3,0,-0.944731468654182,0
"25970","Site",0,3,0,-0.944731468654182,0
"30776","Site",0,3,0,-0.944731468654182,0
"18816","Site",1,1,1,NA,NA
"9815","Site",2,2,1,NA,NA
"4723","Site",1,2,0.5,NA,NA
"8240","Site",1,2,0.5,NA,NA
"8290","Site",1,2,0.5,NA,NA
"14169","Site",1,2,0.5,NA,NA
"18806","Site",1,2,0.5,NA,NA
"21015","Site",1,2,0.5,NA,NA
"34326","Site",1,2,0.5,NA,NA
"5444","Site",0,2,0,NA,NA
"6453","Site",0,2,0,NA,NA
"17444","Site",0,2,0,NA,NA
"17938","Site",0,2,0,NA,NA
"18179","Site",0,2,0,NA,NA
"21541","Site",0,2,0,NA,NA
"24680","Site",0,2,0,NA,NA
"24867","Site",0,2,0,NA,NA
"30516","Site",0,2,0,NA,NA
"30995","Site",0,2,0,NA,NA
"32900","Site",0,2,0,NA,NA
"34343","Site",0,2,0,NA,NA
"38758","Site",0,2,0,NA,NA
"20869","Site",0,1,0,NA,NA
"25664","Site",0,1,0,NA,NA
"33633","Site",0,1,0,NA,NA
