"GroupID","GroupLevel","Numerator","Denominator","Metric"
"SITE022","Site",13,49,0.26530612244898
"SITE101","Site",4,89,0.0449438202247191
"SITE1102","Site",11,111,0.0990990990990991
"SITE1233","Site",16,106,0.150943396226415
"SITE1257","Site",21,214,0.0981308411214953
"SITE1273","Site",5,21,0.238095238095238
"SITE1544","Site",8,79,0.10126582278481
"SITE1727","Site",12,167,0.0718562874251497
"SITE1748","Site",12,125,0.096
"SITE1750","Site",49,277,0.176895306859206
"SITE1786","Site",16,141,0.113475177304965
"SITE180","Site",18,253,0.0711462450592885
"SITE1841","Site",4,23,0.173913043478261
"SITE1910","Site",20,191,0.104712041884817
"SITE1934","Site",9,67,0.134328358208955
"SITE1935","Site",5,26,0.192307692307692
"SITE1982","Site",28,223,0.125560538116592
"SITE2030","Site",0,5,0
"SITE2062","Site",0,4,0
"SITE213","Site",96,699,0.137339055793991
"SITE216","Site",15,202,0.0742574257425743
"SITE2170","Site",26,396,0.0656565656565657
"SITE2192","Site",88,725,0.121379310344828
"SITE2323","Site",20,297,0.0673400673400673
"SITE2354","Site",6,53,0.113207547169811
"SITE2373","Site",5,155,0.032258064516129
"SITE2532","Site",35,417,0.0839328537170264
"SITE2883","Site",4,95,0.0421052631578947
"SITE2894","Site",6,39,0.153846153846154
"SITE2901","Site",33,178,0.185393258426966
"SITE2923","Site",5,30,0.166666666666667
"SITE2980","Site",9,110,0.0818181818181818
"SITE2986","Site",16,255,0.0627450980392157
"SITE3068","Site",12,102,0.117647058823529
"SITE3077","Site",6,52,0.115384615384615
"SITE3081","Site",63,435,0.144827586206897
"SITE3090","Site",15,212,0.0707547169811321
"SITE3289","Site",33,301,0.109634551495017
"SITE3319","Site",11,138,0.0797101449275362
"SITE3353","Site",14,113,0.123893805309735
"SITE3415","Site",11,118,0.0932203389830508
"SITE3719","Site",10,135,0.0740740740740741
"SITE3754","Site",12,116,0.103448275862069
"SITE3759","Site",3,28,0.107142857142857
"SITE3839","Site",14,72,0.194444444444444
"SITE3871","Site",8,40,0.2
"SITE3909","Site",33,348,0.0948275862068965
"SITE3938","Site",15,137,0.109489051094891
"SITE3989","Site",30,266,0.112781954887218
"SITE4028","Site",4,24,0.166666666666667
"SITE404","Site",5,93,0.0537634408602151
"SITE4072","Site",18,149,0.120805369127517
"SITE4155","Site",4,35,0.114285714285714
"SITE4260","Site",22,203,0.108374384236453
"SITE4264","Site",33,240,0.1375
"SITE4275","Site",4,28,0.142857142857143
"SITE4314","Site",49,228,0.214912280701754
"SITE4323","Site",58,753,0.0770252324037185
"SITE4424","Site",3,24,0.125
"SITE4485","Site",48,576,0.0833333333333333
"SITE4543","Site",6,52,0.115384615384615
"SITE4590","Site",51,498,0.102409638554217
"SITE4597","Site",6,47,0.127659574468085
"SITE4612","Site",1,6,0.166666666666667
"SITE4629","Site",60,344,0.174418604651163
"SITE4671","Site",7,43,0.162790697674419
"SITE4703","Site",2,17,0.117647058823529
"SITE4744","Site",0,6,0
"SITE4754","Site",1,30,0.0333333333333333
"SITE4874","Site",7,171,0.0409356725146199
"SITE4875","Site",0,28,0
"SITE4959","Site",42,477,0.0880503144654088
"SITE4976","Site",0,6,0
"SITE5033","Site",38,349,0.108882521489971
"SITE5062","Site",11,120,0.0916666666666667
"SITE5185","Site",1,10,0.1
"SITE5217","Site",0,4,0
"SITE5289","Site",4,36,0.111111111111111
"SITE5384","Site",27,399,0.0676691729323308
"SITE5425","Site",7,61,0.114754098360656
"SITE5611","Site",18,126,0.142857142857143
"SITE5895","Site",36,385,0.0935064935064935
"SITE6068","Site",0,11,0
"SITE6123","Site",3,19,0.157894736842105
"SITE6155","Site",8,63,0.126984126984127
"SITE6184","Site",5,59,0.0847457627118644
"SITE6384","Site",10,130,0.0769230769230769
"SITE6405","Site",28,338,0.0828402366863905
"SITE6410","Site",15,158,0.0949367088607595
"SITE6440","Site",0,2,0
"SITE6572","Site",10,71,0.140845070422535
"SITE6603","Site",60,411,0.145985401459854
"SITE6832","Site",8,122,0.0655737704918033
"SITE6900","Site",30,324,0.0925925925925926
"SITE6991","Site",10,49,0.204081632653061
"SITE7004","Site",17,292,0.0582191780821918
"SITE7011","Site",33,321,0.102803738317757
"SITE7096","Site",16,132,0.121212121212121
"SITE7184","Site",22,161,0.136645962732919
