"GroupID","GroupLevel","Numerator","Denominator","Metric"
"34","Site",376,4000,0.094
"257","Site",658,2000,0.329
"384","Site",1786,7000,0.255142857142857
"531","Site",3854,10000,0.3854
"534","Site",752,5000,0.1504
"1028","Site",658,3000,0.219333333333333
"1881","Site",1598,5000,0.3196
"2392","Site",2632,8000,0.329
"4354","Site",188,2000,0.094
"4659","Site",470,5000,0.094
"4695","Site",1034,4000,0.2585
"4723","Site",94,1000,0.094
"5444","Site",376,2000,0.188
"5927","Site",846,5000,0.1692
"5960","Site",470,5000,0.094
"5968","Site",1786,6000,0.297666666666667
"6022","Site",846,5000,0.1692
"6209","Site",94,1000,0.094
"6416","Site",940,4000,0.235
"6452","Site",376,4000,0.094
"6453","Site",188,2000,0.094
"6530","Site",1598,5000,0.3196
"8240","Site",94,1000,0.094
"8560","Site",1880,6000,0.313333333333333
"8594","Site",3760,11000,0.341818181818182
"8995","Site",2162,6000,0.360333333333333
"9044","Site",282,3000,0.094
"9075","Site",846,5000,0.1692
"9522","Site",1504,6000,0.250666666666667
"10371","Site",470,3000,0.156666666666667
"10388","Site",94,1000,0.094
"10497","Site",940,4000,0.235
"10531","Site",94,1000,0.094
"10624","Site",376,3000,0.125333333333333
"10630","Site",1128,5000,0.2256
"12392","Site",658,4000,0.1645
"12407","Site",188,2000,0.094
"12417","Site",1974,10000,0.1974
"12432","Site",1410,4000,0.3525
"12937","Site",1222,5000,0.2444
"13081","Site",658,4000,0.1645
"13139","Site",376,4000,0.094
"13333","Site",282,3000,0.094
"14105","Site",376,3000,0.125333333333333
"14164","Site",376,3000,0.125333333333333
"14169","Site",94,1000,0.094
"14393","Site",564,6000,0.094
"14449","Site",188,2000,0.094
"14601","Site",1598,5000,0.3196
"14648","Site",658,4000,0.1645
"14729","Site",1598,6000,0.266333333333333
"16424","Site",94,1000,0.094
"16498","Site",470,4000,0.1175
"16992","Site",376,3000,0.125333333333333
"16996","Site",1034,5000,0.2068
"17172","Site",1034,5000,0.2068
"17187","Site",3384,12000,0.282
"17444","Site",188,2000,0.094
"17541","Site",2538,8000,0.31725
"17731","Site",188,2000,0.094
"17808","Site",2726,11000,0.247818181818182
"17938","Site",94,1000,0.094
"17961","Site",1410,4000,0.3525
"18033","Site",188,2000,0.094
"18179","Site",94,1000,0.094
"18244","Site",94,1000,0.094
"18260","Site",282,1000,0.282
"18548","Site",1034,4000,0.2585
"18549","Site",188,2000,0.094
"18777","Site",2162,8000,0.27025
"18806","Site",94,1000,0.094
"20531","Site",1786,8000,0.22325
"20578","Site",470,4000,0.1175
"21015","Site",94,1000,0.094
"21129","Site",188,1000,0.188
"21380","Site",2162,7000,0.308857142857143
"21541","Site",376,2000,0.188
"22033","Site",188,2000,0.094
"22677","Site",2350,7000,0.335714285714286
"24680","Site",94,1000,0.094
"24867","Site",188,2000,0.094
"24917","Site",188,2000,0.094
"24964","Site",282,3000,0.094
"25476","Site",658,5000,0.1316
"25605","Site",1974,6000,0.329
"25616","Site",658,3000,0.219333333333333
"25664","Site",94,1000,0.094
"25970","Site",376,2000,0.188
"26115","Site",2350,9000,0.261111111111111
"26674","Site",564,5000,0.1128
"26880","Site",1786,6000,0.297666666666667
"27025","Site",94,1000,0.094
"28676","Site",846,4000,0.2115
"28689","Site",1692,4000,0.423
"28822","Site",1034,5000,0.2068
"29060","Site",1034,5000,0.2068
"29192","Site",376,2000,0.188
"30019","Site",188,2000,0.094
"30212","Site",470,3000,0.156666666666667
"30729","Site",1316,5000,0.2632
"30776","Site",94,1000,0.094
"30816","Site",188,2000,0.094
"31107","Site",2350,12000,0.195833333333333
"32913","Site",1128,2000,0.564
"33296","Site",658,4000,0.1645
"33617","Site",2256,8000,0.282
"33620","Site",940,4000,0.235
"33633","Site",94,1000,0.094
"33824","Site",658,3000,0.219333333333333
"34071","Site",1880,4000,0.47
"34326","Site",94,1000,0.094
"34341","Site",3760,11000,0.341818181818182
"34343","Site",94,1000,0.094
"34355","Site",1504,5000,0.3008
"34660","Site",752,4000,0.188
"34664","Site",376,4000,0.094
"34694","Site",1692,8000,0.2115
"34696","Site",1504,5000,0.3008
"34713","Site",3384,12000,0.282
"34869","Site",752,4000,0.188
"34903","Site",376,2000,0.188
"35223","Site",376,4000,0.094
"36994","Site",94,1000,0.094
"37186","Site",4606,14000,0.329
"37191","Site",94,1000,0.094
"37702","Site",3666,11000,0.333272727272727
"37728","Site",2256,8000,0.282
"37781","Site",282,3000,0.094
"37908","Site",1034,6000,0.172333333333333
"37912","Site",94,1000,0.094
"38166","Site",282,3000,0.094
"38272","Site",1410,4000,0.3525
"38404","Site",846,4000,0.2115
"38497","Site",658,3000,0.219333333333333
"38711","Site",1598,5000,0.3196
"39000","Site",188,2000,0.094
"39044","Site",188,2000,0.094
"39048","Site",94,1000,0.094
