"GroupID","GroupLevel","Numerator","Denominator","Metric","OverallMetric","Factor","Score","Flag","Weight","WeightMax"
"SITE9737","Site",23,301,0.0764119601328904,0.0437669324989507,1.59771179294533,2.14179555723718,1,8,16
"SITE7004","Site",5,292,0.0171232876712329,0.0437669324989507,1.59771179294533,-1.721721038723,0,0,16
"SITE8768","Site",0,107,0,0.0437669324989507,1.59771179294533,-1.71204715793777,0,0,16
"SITE6410","Site",2,158,0.0126582278481013,0.0437669324989507,1.59771179294533,-1.47872765876234,0,0,16
"SITE6572","Site",0,71,0,0.0437669324989507,1.59771179294533,-1.39461075010566,0,0,16
"SITE1934","Site",0,67,0,0.0437669324989507,1.59771179294533,-1.35475647553761,0,0,16
"SITE4959","Site",14,477,0.0293501048218029,0.0437669324989507,1.59771179294533,-1.19071170241481,0,0,16
"SITE5611","Site",2,126,0.0158730158730159,0.0437669324989507,1.59771179294533,-1.18405669026387,0,0,16
"SITE6832","Site",2,122,0.0163934426229508,0.0437669324989507,1.59771179294533,-1.14337267757796,0,0,16
"SITE7809","Site",9,322,0.0279503105590062,0.0437669324989507,1.59771179294533,-1.07329571323463,0,0,16
"SITE3871","Site",0,40,0,0.0437669324989507,1.59771179294533,-1.04677617616742,0,0,16
"SITE8786","Site",10,345,0.0289855072463768,0.0437669324989507,1.59771179294533,-1.03825393100735,0,0,16
"SITE8084","Site",0,38,0,0.0437669324989507,1.59771179294533,-1.02027121141494,0,0,16
"SITE8354","Site",5,194,0.0257731958762887,0.0437669324989507,1.59771179294533,-0.947763434651094,0,0,16
"SITE7543","Site",0,32,0,0.0437669324989507,1.59771179294533,-0.936265074855063,0,0,16
"SITE6603","Site",13,411,0.0316301703163017,0.0437669324989507,1.59771179294533,-0.930468077725195,0,0,16
"SITE3289","Site",9,301,0.0299003322259136,0.0437669324989507,1.59771179294533,-0.909768654258922,0,0,16
"SITE4754","Site",0,30,0,0.0437669324989507,1.59771179294533,-0.906534760637325,0,0,16
"SITE1257","Site",6,214,0.0280373831775701,0.0437669324989507,1.59771179294533,-0.870163557768147,0,0,16
"SITE958","Site",17,497,0.03420523138833,0.0437669324989507,1.59771179294533,-0.806104013239267,0,0,16
"SITE6184","Site",1,59,0.0169491525423729,0.0437669324989507,1.59771179294533,-0.778980441878682,0,0,16
"SITE5062","Site",3,120,0.025,0.0437669324989507,1.59771179294533,-0.777430616652924,0,0,16
"SITE9858","Site",2,90,0.0222222222222222,0.0437669324989507,1.59771179294533,-0.772929063762334,0,0,16
"SITE9142","Site",30,808,0.0371287128712871,0.0437669324989507,1.59771179294533,-0.713567435826288,0,0,16
"SITE3353","Site",3,113,0.0265486725663717,0.0437669324989507,1.59771179294533,-0.692159535847853,0,0,16
"SITE3909","Site",12,348,0.0344827586206897,0.0437669324989507,1.59771179294533,-0.654953718967377,0,0,16
"SITE2980","Site",3,110,0.0272727272727273,0.0437669324989507,1.59771179294533,-0.654192350316698,0,0,16
"SITE8210","Site",7,215,0.0325581395348837,0.0437669324989507,1.59771179294533,-0.621520993141382,0,0,16
"SITE3719","Site",4,135,0.0296296296296296,0.0437669324989507,1.59771179294533,-0.621170999095253,0,0,16
"SITE1544","Site",2,79,0.0253164556962025,0.0437669324989507,1.59771179294533,-0.620153022142861,0,0,16
"SITE8351","Site",16,440,0.0363636363636364,0.0437669324989507,1.59771179294533,-0.58725832890109,0,0,16
