"GroupID","GroupLevel","Numerator","Denominator","Metric"
"SITE022","Site",0,4,0
"SITE101","Site",0,2,0
"SITE1102","Site",0,4,0
"SITE1233","Site",0,6,0
"SITE1257","Site",0,5,0
"SITE1273","Site",0,1,0
"SITE1544","Site",0,2,0
"SITE1727","Site",0,7,0
"SITE1748","Site",0,7,0
"SITE1750","Site",0,7,0
"SITE1786","Site",0,5,0
"SITE180","Site",0,7,0
"SITE1841","Site",0,3,0
"SITE1910","Site",2,5,0.4
"SITE1934","Site",0,4,0
"SITE1935","Site",0,2,0
"SITE1982","Site",0,5,0
"SITE2030","Site",0,1,0
"SITE2062","Site",0,1,0
"SITE213","Site",0,12,0
"SITE216","Site",0,8,0
"SITE2170","Site",1,10,0.1
"SITE2192","Site",0,14,0
"SITE2323","Site",0,6,0
"SITE2354","Site",0,3,0
"SITE2373","Site",0,5,0
"SITE2532","Site",0,12,0
"SITE2883","Site",0,3,0
"SITE2894","Site",0,5,0
"SITE2901","Site",0,4,0
"SITE2923","Site",0,3,0
"SITE2980","Site",0,4,0
"SITE2986","Site",0,7,0
"SITE3068","Site",0,4,0
"SITE3077","Site",0,3,0
"SITE3081","Site",1,11,0.0909090909090909
"SITE3090","Site",0,5,0
"SITE3289","Site",1,7,0.142857142857143
"SITE3319","Site",0,5,0
"SITE3353","Site",0,7,0
"SITE3415","Site",0,4,0
"SITE3719","Site",0,5,0
"SITE3754","Site",0,4,0
"SITE3759","Site",0,1,0
"SITE3839","Site",0,6,0
"SITE3871","Site",0,3,0
"SITE3909","Site",0,7,0
"SITE3938","Site",0,4,0
"SITE3989","Site",0,7,0
"SITE4028","Site",0,2,0
"SITE404","Site",0,3,0
"SITE4072","Site",0,9,0
"SITE4155","Site",0,2,0
"SITE4260","Site",0,8,0
"SITE4264","Site",0,5,0
"SITE4275","Site",0,1,0
"SITE4314","Site",0,8,0
"SITE4323","Site",0,14,0
"SITE4424","Site",0,2,0
"SITE4485","Site",0,11,0
"SITE4543","Site",0,3,0
"SITE4590","Site",0,12,0
"SITE4597","Site",0,3,0
"SITE4612","Site",0,2,0
"SITE4629","Site",0,8,0
"SITE4671","Site",0,2,0
"SITE4703","Site",0,2,0
"SITE4744","Site",0,2,0
"SITE4754","Site",0,1,0
"SITE4874","Site",0,7,0
"SITE4875","Site",0,2,0
"SITE4959","Site",0,11,0
"SITE4976","Site",0,1,0
"SITE5033","Site",0,10,0
"SITE5062","Site",0,5,0
"SITE5185","Site",0,1,0
"SITE5217","Site",0,1,0
"SITE5289","Site",0,1,0
"SITE5384","Site",0,7,0
"SITE5425","Site",0,2,0
"SITE5611","Site",0,7,0
"SITE5895","Site",0,9,0
"SITE6068","Site",0,2,0
"SITE6123","Site",0,2,0
"SITE6155","Site",0,3,0
"SITE6184","Site",0,5,0
"SITE6384","Site",0,5,0
"SITE6405","Site",1,6,0.166666666666667
"SITE6410","Site",0,4,0
"SITE6440","Site",0,1,0
"SITE6572","Site",0,3,0
"SITE6603","Site",0,9,0
"SITE6832","Site",1,5,0.2
"SITE6900","Site",1,7,0.142857142857143
"SITE6991","Site",0,3,0
"SITE7004","Site",0,9,0
"SITE7011","Site",0,6,0
"SITE7096","Site",0,5,0
"SITE7184","Site",0,5,0
"SITE7208","Site",0,4,0
"SITE7246","Site",0,2,0
"SITE7543","Site",0,2,0
"SITE759","Site",0,6,0
"SITE7604","Site",0,4,0
"SITE7734","Site",0,2,0
"SITE7809","Site",0,7,0
"SITE7838","Site",0,3,0
"SITE7860","Site",0,4,0
"SITE7913","Site",0,2,0
"SITE7983","Site",1,13,0.0769230769230769
"SITE8084","Site",0,2,0
"SITE8091","Site",0,5,0
"SITE8210","Site",0,6,0
"SITE8351","Site",0,9,0
"SITE8354","Site",0,6,0
"SITE8361","Site",0,1,0
"SITE8420","Site",0,6,0
"SITE8517","Site",2,7,0.285714285714286
"SITE8616","Site",0,1,0
"SITE8625","Site",0,12,0
"SITE8627","Site",0,2,0
"SITE8633","Site",2,6,0.333333333333333
"SITE8764","Site",0,4,0
"SITE8768","Site",0,7,0
"SITE8786","Site",0,8,0
"SITE8788","Site",1,6,0.166666666666667
"SITE8799","Site",0,13,0
"SITE8835","Site",0,5,0
"SITE8857","Site",0,2,0
"SITE8997","Site",0,5,0
"SITE9082","Site",0,1,0
"SITE9142","Site",0,15,0
"SITE9147","Site",0,2,0
"SITE9346","Site",0,11,0
"SITE9360","Site",0,9,0
"SITE9395","Site",0,4,0
"SITE9414","Site",0,7,0
"SITE9418","Site",0,3,0
"SITE9516","Site",0,4,0
"SITE958","Site",0,11,0
"SITE9580","Site",0,5,0
"SITE9604","Site",0,5,0
"SITE9661","Site",0,7,0
"SITE9737","Site",0,6,0
"SITE9766","Site",0,2,0
"SITE9858","Site",0,4,0
"SITE9884","Site",0,4,0
"SITE9888","Site",0,2,0
