"GroupID","GroupLevel","Numerator","Denominator","Metric","OverallMetric","Factor","Score"
"26674","Site",90,2256,0.0398936170212766,0.0502634825385705,0.870130663340579,-2.41669909161544
"18548","Site",177,4136,0.0427949709864603,0.0502634825385705,0.870130663340579,-2.35669960531823
"24917","Site",25,752,0.0332446808510638,0.0502634825385705,0.870130663340579,-2.28990679027892
"26115","Site",435,9400,0.0462765957446808,0.0502634825385705,0.870130663340579,-1.89660869811377
"17187","Site",641,13536,0.0473552009456265,0.0502634825385705,0.870130663340579,-1.66020430001539
"384","Site",331,7144,0.0463325867861142,0.0502634825385705,0.870130663340579,-1.63020475798058
"39000","Site",29,752,0.038563829787234,0.0502634825385705,0.870130663340579,-1.57420685493138
"30729","Site",242,5264,0.0459726443768997,0.0502634825385705,0.870130663340579,-1.52749564858197
"37191","Site",13,376,0.0345744680851064,0.0502634825385705,0.870130663340579,-1.49268955029659
"2392","Site",499,10528,0.0473974164133739,0.0502634825385705,0.870130663340579,-1.44290936184941
"22033","Site",30,752,0.0398936170212766,0.0502634825385705,0.870130663340579,-1.3952818710945
"25605","Site",374,7896,0.0473657548125633,0.0502634825385705,0.870130663340579,-1.26340052491896
"10388","Site",14,376,0.0372340425531915,0.0502634825385705,0.870130663340579,-1.23965141150708
"16424","Site",14,376,0.0372340425531915,0.0502634825385705,0.870130663340579,-1.23965141150708
"34326","Site",14,376,0.0372340425531915,0.0502634825385705,0.870130663340579,-1.23965141150708
"34696","Site",283,6016,0.0470412234042553,0.0502634825385705,0.870130663340579,-1.22629309888308
"25616","Site",121,2632,0.0459726443768997,0.0502634825385705,0.870130663340579,-1.08010253134525
"34071","Site",359,7520,0.0477393617021277,0.0502634825385705,0.870130663340579,-1.0739868631232
"18549","Site",32,752,0.0425531914893617,0.0502634825385705,0.870130663340579,-1.03743190342073
"30019","Site",32,752,0.0425531914893617,0.0502634825385705,0.870130663340579,-1.03743190342073
"34343","Site",15,376,0.0398936170212766,0.0502634825385705,0.870130663340579,-0.986613272717573
"37186","Site",899,18424,0.0487950499348676,0.0502634825385705,0.870130663340579,-0.977970800240254
"12432","Site",269,5640,0.0476950354609929,0.0502634825385705,0.870130663340579,-0.946433448420241
"28676","Site",159,3384,0.0469858156028369,0.0502634825385705,0.870130663340579,-0.935534707836656
