"GroupID","GroupLevel","Numerator","Denominator","Metric","OverallMetric","Factor","Score"
"SITE213","Site",0,11,0,0.24,1.06145635267152,-1.80902303527994
"SITE4485","Site",0,11,0,0.24,1.06145635267152,-1.80902303527994
"SITE2170","Site",0,10,0,0.24,1.06145635267152,-1.72483578722293
"SITE4072","Site",0,9,0,0.24,1.06145635267152,-1.63632290321821
"SITE4323","Site",1,15,0.0666666666666667,0.24,1.06145635267152,-1.52568273317342
"SITE1727","Site",0,7,0,0.24,1.06145635267152,-1.44310115550486
"SITE8768","Site",0,7,0,0.24,1.06145635267152,-1.44310115550486
"SITE7983","Site",1,14,0.0714285714285714,0.24,1.06145635267152,-1.43345643254148
"SITE8799","Site",1,14,0.0714285714285714,0.24,1.06145635267152,-1.43345643254148
"SITE4590","Site",1,13,0.0769230769230769,0.24,1.06145635267152,-1.3362899356016
"SITE3081","Site",1,12,0.0833333333333333,0.24,1.06145635267152,-1.23339941740963
"SITE958","Site",1,12,0.0833333333333333,0.24,1.06145635267152,-1.23339941740963
"SITE2894","Site",0,5,0,0.24,1.06145635267152,-1.21964308157857
"SITE3719","Site",0,5,0,0.24,1.06145635267152,-1.21964308157857
"SITE6184","Site",0,5,0,0.24,1.06145635267152,-1.21964308157857
"SITE6384","Site",0,5,0,0.24,1.06145635267152,-1.21964308157857
"SITE8835","Site",0,5,0,0.24,1.06145635267152,-1.21964308157857
"SITE1102","Site",0,4,0,0.24,1.06145635267152,-1.0908819354788
"SITE7860","Site",0,4,0,0.24,1.06145635267152,-1.0908819354788
"SITE9858","Site",0,4,0,0.24,1.06145635267152,-1.0908819354788
"SITE2192","Site",2,16,0.125,0.24,1.06145635267152,-1.04542852150052
"SITE3871","Site",0,3,0,0.24,1.06145635267152,-0.944731468654182
"SITE6572","Site",0,3,0,0.24,1.06145635267152,-0.944731468654182
"SITE7838","Site",0,3,0,0.24,1.06145635267152,-0.944731468654182
"SITE4314","Site",1,9,0.111111111111111,0.24,1.06145635267152,-0.878766003580148
"SITE8625","Site",2,14,0.142857142857143,0.24,1.06145635267152,-0.826059639091701
